Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-42.260185	101.29178	40.717316	-347.4352	-72.5388	50.64109	-23.697979	-176.0392	166.0	29.7	3999	5.4963884	7.0806913	49.82565	-7.501931	-7.4200487	0.5135841	42.41471529006958
2	-90.78537	118.98505	23.147259	-332.53522	-97.38728	62.138416	-35.8592	-268.82983	278.8	33.9	7999	94.8911	56.708786	279.1399	-68.13739	-106.67558	14.064224	98.80468440055847
3	-248.0053	556.77893	11.524084	-2609.9817	-900.63574	1276.389	-27.786207	-2968.2717	178.875	303.5	11999	430.34488	127.571266	702.02814	-293.6368	-456.95538	224.87276	159.04034185409546
4	-258.1616	590.4004	-9.884766	-2716.4248	-96.56868	53.68205	-39.70244	-210.5387	95.92105	32.1	15999	645.86847	58.194572	788.6933	-367.31448	-659.2845	494.3187	217.0031681060791
5	-227.89116	537.00024	-21.611603	-2664.6162	-912.9796	1250.8467	-25.33082	-2859.8792	87.7	323.0	19999	653.4853	60.832832	790.11914	-277.71884	-663.7396	604.9384	277.6737744808197
6	-336.0831	676.1127	-21.457258	-2607.739	-371.41385	780.53595	-34.35358	-2708.1663	133.46666	135.1	23999	630.0586	70.79253	759.6071	-359.57562	-641.2966	629.2921	337.5244460105896
7	-347.33365	666.4642	-22.20351	-2247.9453	-156.72115	191.04454	-22.183329	-705.74066	166.5	91.1	27999	619.33673	68.40159	750.73596	-272.94064	-630.5445	488.26724	395.6920657157898
8	-347.31567	532.4561	-20.602703	-1684.1758	-435.498	700.82043	-30.30805	-1917.4823	205.05882	229.2	31999	611.07684	62.57508	748.40875	-336.46927	-621.86804	368.52457	456.2989490032196
9	-540.9001	766.7263	-23.006176	-1887.7046	-460.35312	838.1732	-21.581522	-2196.3137	297.2	219.6	35999	588.0247	57.97715	698.65796	-532.55597	-597.4018	302.7837	516.492598772049
10	-443.79547	726.8295	-8.097269	-2016.2726	-180.12239	403.82883	-25.638643	-1390.4508	234.52942	89.5	39999	547.5183	52.988537	654.687	-321.0469	-555.3787	248.46165	575.0818231105804
