Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-265.39108	67.60577	-184.79372	-357.50192	-589.7379	1.3019501	-586.5295	-591.2894	1000.0	1000.0	3999	2.3353653	2.356157	17.98964	-5.934248	-2.9582422	0.25405446	38.342450857162476
2	-304.31116	25.44514	-278.67337	-336.5979	-594.4133	18.940708	-568.30914	-624.5151	1000.0	1000.0	7999	12.105665	6.6060643	42.35755	-7.3606343	-13.54475	0.82450986	89.70461821556091
3	-434.93304	172.5856	-246.08176	-693.35474	-572.3206	47.175667	-508.218	-674.37714	1000.0	1000.0	11999	38.601784	12.134755	82.51322	5.118128	-40.856926	2.1301465	141.14699792861938
4	-359.23737	150.47012	-165.54222	-523.7995	33.726814	158.69896	298.86813	-208.91386	1000.0	1000.0	15999	51.423626	18.18004	107.04223	14.344258	-52.548412	2.8010106	192.42358708381653
5	-208.67747	246.56847	144.73808	-541.2441	-216.30887	296.2281	309.7224	-779.5609	1000.0	1000.0	19999	62.685406	19.877304	106.60301	16.390808	-64.22088	3.3151896	243.61962509155273
6	917.03046	505.12695	1487.8865	213.32903	1678.2992	667.2649	2054.6768	-310.06415	1000.0	1000.0	23999	69.63351	22.55999	120.16164	25.812395	-70.78009	2.9062114	294.6296362876892
7	1321.0051	720.1577	1856.4882	80.386665	1471.4246	896.58514	2402.3767	-44.72843	1000.0	1000.0	27999	82.71794	27.259703	144.69565	27.695162	-84.1625	3.4254267	346.03819823265076
8	1546.873	866.80023	2209.9014	72.37978	2216.5376	155.4717	2588.1785	1977.7384	1000.0	1000.0	31999	100.67899	35.952423	175.89243	30.304853	-102.19601	4.298365	398.07703948020935
9	1994.831	104.56171	2131.0667	1856.6302	2149.9421	324.07013	2514.0696	1259.606	1000.0	1000.0	35999	120.93209	42.08233	201.3143	29.685587	-122.50997	5.1647344	449.8807702064514
10	2023.5961	218.0655	2239.6616	1666.9772	2347.616	317.96393	2868.1243	1548.4841	1000.0	1000.0	39999	140.73933	46.202854	227.93451	37.18771	-142.28748	5.8012753	501.24805331230164
