Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	17.90173	15.010634	121.08969	5.157653	39.59102	0.7530374	40.393166	38.420254	21.808743	22.6	3999	12.75115	10.598454	55.159794	-21.061216	-14.891289	1.2859011	28.27386498451233
2	17.590023	15.962405	178.23697	4.42029	39.57482	0.8532098	40.48671	38.324863	21.505377	22.6	7999	54.535076	23.472176	135.58871	-123.645386	-60.368504	14.721448	66.46579623222351
3	29.888369	17.716589	165.96783	3.6314425	38.78781	1.1351184	40.349087	36.985283	22.925287	22.1	11999	112.74336	35.71856	195.58249	-81.03063	-119.73458	54.554256	104.90657711029053
4	39.194847	0.9328849	41.938206	36.617023	38.89176	0.69556016	40.279945	38.327133	22.379889	22.2	15999	64.15087	39.04205	183.54933	-46.358185	-64.6577	18.16758	143.22883081436157
5	39.153946	0.90895396	40.597416	36.906372	39.079525	1.0068903	40.81059	37.322563	22.357542	22.2	19999	29.046455	16.021074	140.00612	-63.429356	-29.547255	4.0390515	181.37893438339233
6	39.17356	0.91738325	41.66096	36.86896	38.942352	1.0420495	40.56115	36.872208	22.340782	22.2	23999	27.762728	13.789015	111.07451	-38.275852	-28.350088	2.603877	220.74879789352417
7	39.058243	0.9035276	40.635406	36.74476	38.952282	0.93317527	40.22987	36.98372	22.294445	22.2	27999	26.666307	12.837894	83.88792	-32.799488	-27.106514	1.9859216	260.2143211364746
8	39.168247	0.92365175	41.78891	36.771015	38.995052	1.0377313	40.52175	36.80394	22.340782	22.2	31999	25.52473	12.041828	78.99023	-29.58167	-25.9131	1.3660007	299.1540455818176
9	39.25234	0.99488264	41.80717	36.71167	38.502964	0.91413254	40.286938	36.96678	22.404495	21.9	35999	25.051752	11.9699135	79.81993	-32.052025	-25.402367	1.1608926	338.71285247802734
10	39.23369	0.9907589	41.835922	36.915108	38.891724	0.5316691	40.33109	38.219097	22.391062	22.1	39999	24.54062	11.747606	70.09119	-26.231136	-24.8286	0.9576628	378.32235646247864
11	39.131546	0.9805856	40.792686	36.651363	39.151764	1.1995693	40.551888	37.158398	22.318436	22.2	43999	24.202282	11.633389	61.324505	-43.977024	-24.479654	0.85763615	419.1541519165039
12	39.193867	1.0096195	41.976658	36.756996	39.130867	0.8572115	40.401775	38.213055	22.363129	22.3	47999	23.91976	11.508102	62.67282	-26.08318	-24.16704	0.7609027	461.80865502357483
13	39.15465	0.9727549	41.863308	36.775803	38.549835	0.8415114	40.207256	37.11749	22.351955	21.9	51999	23.83502	11.549303	60.00982	-25.159145	-24.081537	0.73105407	506.5765824317932
14	39.100006	1.0104849	41.923347	36.735413	38.758354	1.0070088	40.379017	37.09018	22.318436	22.0	55999	23.79129	11.59073	61.012253	-25.757254	-23.996647	0.6939933	551.1838355064392
15	39.09348	0.93294656	41.778667	36.804474	38.462543	1.3334194	40.414318	36.79397	22.307262	21.9	59999	23.480375	11.476091	60.39781	-41.492794	-23.65416	0.68084896	597.7419474124908
16	39.16355	1.0475776	41.772774	36.733162	38.498344	1.2421863	40.39892	36.633232	22.335196	21.9	63999	23.201933	11.280109	61.988976	-29.554678	-23.385439	0.6167406	649.0379340648651
17	39.198467	0.9839121	41.833317	36.77265	39.338062	0.9642624	40.406155	37.306625	22.346369	22.4	67999	23.133812	11.271343	68.91855	-34.05565	-23.299828	0.63502073	710.2785902023315
