Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.0434685	14.315065	22.037466	-17.776186	26.040512	1.5036527	29.201075	23.908598	1000.0	1000.0	3999	8.948599	7.9392853	49.837452	-2.4474623	-10.628408	0.11003374	34.830384969711304
2	-8.437198	5.8790665	-0.03520481	-16.442705	34.699196	3.0509348	39.349625	28.475908	1000.0	1000.0	7999	46.050156	19.67968	124.37186	11.955869	-49.148617	0.5309805	80.45630025863647
3	6.3106856	17.78588	29.216234	-18.765005	26.495111	4.969805	38.361332	20.563677	1000.0	1000.0	11999	100.47957	28.467297	217.58994	17.142275	-103.37946	0.59511584	127.64926099777222
4	12.871243	12.388176	26.641066	-6.2707005	-0.85692865	1.2956138	1.4338601	-2.2875602	1000.0	1000.0	15999	124.15658	19.2522	207.03563	55.27838	-125.24856	0.40384758	175.1073169708252
5	17.552094	16.258106	41.776287	0.8940786	15.554308	5.4832687	22.1179	1.1622567	1000.0	1000.0	19999	121.53209	15.686816	205.32741	64.71289	-122.60325	0.49404353	222.69540739059448
6	28.960823	33.966934	79.33845	-16.474287	9.156279	7.231151	20.863613	-5.0966105	1000.0	1000.0	23999	121.80916	11.422196	185.98729	85.65605	-122.952484	0.40330505	269.57508730888367
7	19.045351	4.635175	26.228184	13.4210205	22.048115	7.8715525	33.305065	5.947565	1000.0	1000.0	27999	119.02066	12.99641	228.95038	87.79624	-119.970604	0.3689063	318.0240705013275
8	17.67295	14.010847	33.171413	-5.0885425	12.730627	3.1320164	16.019812	7.5267587	1000.0	1000.0	31999	118.27668	26.401752	312.02286	83.57173	-119.11751	0.52712685	365.79939341545105
9	22.987307	13.529802	40.555458	6.078177	22.552856	2.8002162	27.5553	16.017223	1000.0	1000.0	35999	115.70283	32.248764	286.04446	75.35371	-116.23463	0.3876986	414.1167562007904
10	8.216095	33.533443	54.492794	-26.367954	29.163898	3.0932522	31.983963	23.075014	1000.0	1000.0	39999	107.09	27.715782	244.91002	72.190414	-107.64619	0.30367988	462.3865292072296
11	14.713009	8.003268	23.587366	4.0556197	17.1185	14.454565	35.916653	-1.2808825	1000.0	1000.0	43999	97.55028	24.11579	217.80481	62.7226	-97.92374	0.22975329	510.7166442871094
12	16.05238	28.797628	40.949226	-30.835276	21.563227	24.581348	39.23231	-17.965027	1000.0	1000.0	47999	88.42739	20.685276	196.86287	57.683777	-88.82361	0.1999408	559.6051790714264
13	9.1984825	14.465538	33.744923	-2.659963	13.1334095	2.4733639	16.115818	8.271019	1000.0	1000.0	51999	81.746445	20.812805	195.2497	51.461697	-82.054245	0.19003637	608.8388364315033
14	23.76893	10.555408	33.72858	6.4266315	12.068096	12.903241	33.071857	2.5717218	1000.0	1000.0	55999	73.75002	17.660477	164.30153	45.54438	-74.07062	0.14698762	658.354505777359
15	18.748497	15.557036	39.057556	-4.560521	24.93655	2.633367	28.056957	20.110935	1000.0	1000.0	59999	66.51345	15.117288	146.16481	40.132984	-66.78252	0.12821344	707.9560067653656
