Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.7594587	4.9858875	19.993391	-10.069172	76.36799	15.348392	94.02408	52.094116	20.709845	189.9	3999	16.874382	14.644408	61.940563	-17.233717	-21.401365	2.410209	52.72215008735657
2	2.0255752	5.800897	29.607492	-10.663135	-20.16933	0.10982841	-20.004513	-20.318808	20.248732	12.0	7999	60.54816	17.261448	92.393	-47.0589	-64.86152	15.783017	121.88264608383179
3	16.27327	50.096752	267.97186	-9.021653	-9.419045	1.2313598	-7.559832	-11.056026	36.381817	63.8	11999	47.878036	16.352423	101.44145	-42.821907	-50.715805	10.466936	192.1632218360901
4	-12.643317	25.566797	142.17888	-74.040474	44.539593	13.914784	74.19743	29.801514	70.91071	64.5	15999	86.90537	32.14045	201.40541	-56.682568	-94.83432	26.66295	262.0248167514801
5	63.238155	128.32741	477.63785	-65.56429	18.254322	158.59389	482.11896	-84.23894	118.84849	219.9	19999	155.45113	43.81244	318.43082	-64.93219	-165.02934	71.550995	333.4148519039154
6	78.66662	116.86371	328.9431	-144.20073	151.3732	150.80171	373.42392	-132.505	155.07692	291.0	23999	204.87686	54.97035	377.5766	-135.58177	-214.75494	101.75871	404.6749584674835
7	27.679817	85.48023	302.10483	-76.341995	-33.055534	11.942263	-14.859066	-53.28643	114.51428	105.5	27999	246.78822	63.710297	470.47113	-215.3281	-257.3031	146.4546	473.95914125442505
8	101.53628	78.425	221.67009	-74.74221	58.171925	76.51741	138.79462	-144.68825	135.76666	124.7	31999	283.3463	76.111725	504.11072	-159.35042	-294.44812	198.3238	544.2687358856201
9	87.86832	75.61874	219.00827	-96.43249	79.41518	90.272644	213.82892	3.027387	130.4	81.2	35999	323.96472	85.6626	517.69543	-205.44237	-335.5415	240.2621	613.6889460086823
10	29.755268	84.41928	310.6884	-178.09348	117.10686	61.46343	216.85124	-17.541264	88.67391	149.4	39999	354.0501	91.18676	594.462	-202.54153	-365.6373	288.86584	684.1880650520325
11	97.059555	103.94325	369.22003	-118.10182	133.50395	29.403206	175.0974	69.601974	119.181816	78.1	43999	378.2021	101.45844	667.4919	-173.0403	-389.97433	321.18845	753.2847263813019
12	102.95168	91.43129	365.28143	-90.47232	149.24887	38.419765	226.9194	102.90572	89.666664	123.6	47999	407.34836	113.236465	723.60675	-188.17381	-419.9558	383.56723	823.8512301445007
13	145.68663	93.275955	298.3092	-79.80932	163.63742	23.818647	202.32729	127.66219	137.27586	88.5	51999	436.73624	120.93868	764.956	-259.41452	-449.7449	435.33307	894.0949482917786
14	115.17766	87.12253	262.93665	-34.89084	130.0095	123.327614	335.55936	-105.90574	106.07895	206.4	55999	467.56448	126.854225	807.2698	-218.63963	-481.22815	484.91287	965.5078103542328
15	122.41753	85.626144	306.52435	-60.976913	108.6271	133.79755	403.0149	-95.31825	116.35294	225.6	59999	493.2925	131.60211	814.08154	-313.08206	-506.80283	493.53992	1037.8692591190338
16	39.47935	97.98598	203.3451	-149.95262	185.7387	67.99945	270.80817	64.37964	145.28572	141.7	63999	510.3428	135.7272	813.6411	-309.69995	-523.762	540.826	1109.2106683254242
17	157.16852	107.37186	391.1599	-23.952606	183.17616	122.841255	420.8669	28.315737	124.90625	106.6	67999	516.8009	143.49905	835.8776	-339.22467	-529.9714	538.81805	1182.6105139255524
18	128.95262	133.78595	522.8656	-125.69835	114.944786	165.06331	380.09723	-122.7834	116.63636	214.8	71999	521.3394	147.25252	842.0634	-316.75668	-533.9552	557.6171	1259.51234126091
19	198.27238	133.0737	562.6376	-1.4917561	37.533783	121.34233	282.02148	-181.25232	168.875	162.9	75999	524.742	152.46304	898.9479	-309.1727	-537.67566	562.67395	1339.0645701885223
20	123.529686	99.72178	413.1883	-51.16406	259.67218	177.19766	721.5798	-23.195591	103.64103	178.4	79999	531.4982	157.35178	978.24695	-474.258	-544.4649	585.5261	1422.5946640968323
21	84.80312	124.04428	469.18546	-134.54855	24.154255	6.380293	37.30614	13.107426	139.51724	33.4	83999	538.4532	161.42645	1001.2544	-353.59158	-551.23285	620.5631	1507.0118789672852
22	119.931076	136.70705	464.54984	-64.185356	260.53973	93.53518	424.52692	139.68733	105.03333	167.9	87999	545.3421	164.85637	1014.80585	-799.3591	-558.169	662.67017	1592.134390592575
23	100.42384	192.69159	1101.211	-68.0498	-56.600456	81.67031	44.720158	-212.34521	152.1875	232.2	91999	552.5834	166.86671	1024.8284	-437.24344	-565.2263	649.3632	1679.5689027309418
24	38.821907	143.90285	357.00827	-290.14893	-53.401222	48.291542	39.35825	-109.07577	197.9	186.6	95999	560.2807	171.11215	1043.2604	-447.07217	-573.5779	713.5222	1766.4106483459473
25	11.9314	106.42775	253.32608	-157.76842	121.83397	56.658527	243.00348	60.243626	227.0	175.4	99999	576.1912	172.78644	1003.5956	-485.56897	-589.73724	734.0609	1853.5477840900421
26	117.57496	196.06183	984.60114	-110.115486	229.06587	21.724215	275.26544	198.67278	133.87097	123.1	103999	587.0235	172.95305	947.9135	-312.29858	-600.6807	760.7079	1939.6808652877808
27	171.40984	130.60593	630.0891	5.6301517	218.45303	59.119267	352.24338	164.83237	174.86957	135.5	107999	590.8639	170.56216	935.0699	-317.53918	-603.9014	767.793	2026.5855298042297
28	232.98935	107.25569	414.78467	38.353035	182.70963	82.57664	383.67426	135.77219	177.04546	112.0	111999	591.0482	171.26785	1025.9359	-485.03354	-604.0779	762.1014	2112.373602628708
29	286.99966	175.52122	750.4849	89.44992	311.82254	255.7394	1054.0616	160.14693	202.4	269.1	115999	594.6679	176.41592	1010.0318	-473.72543	-608.04724	753.93805	2199.5883321762085
30	212.77582	130.46957	459.2299	8.397954	150.65837	126.95046	387.1975	9.254477	165.17392	225.7	119999	616.454	189.58922	973.2533	-294.1165	-630.9294	845.52527	2287.30340051651
31	207.25896	163.72928	554.39154	-212.43872	224.42139	249.00156	723.0841	-53.13272	205.1	309.5	123999	632.52734	190.69652	1002.0007	-383.12582	-646.448	832.1463	2374.6505982875824
32	94.875244	136.71786	463.67566	-170.49522	91.88695	83.51818	331.5977	46.1486	209.21053	135.6	127999	623.5877	186.61569	1027.0999	-377.58746	-636.00555	773.90137	2461.376396894455
33	51.27169	108.018295	325.77182	-205.35428	11.661081	1.2074536	13.242295	9.781436	149.25	24.7	131999	608.1387	181.22002	1025.5992	-341.19525	-620.0875	772.56	2547.289089202881
34	166.67506	170.9239	467.25656	-43.923344	256.4877	190.77371	581.88544	57.916924	300.07693	270.0	135999	605.751	181.61124	972.73773	-508.062	-618.36115	799.54364	2634.760584592819
35	333.17612	230.4533	999.02686	16.139885	12.255867	259.74902	316.5813	-524.45325	293.0	392.5	139999	609.1813	179.70366	943.56464	-406.3481	-621.7875	795.8472	2724.222093820572
36	287.0477	179.34229	584.5035	30.376856	335.7555	384.9678	1262.1588	-120.28801	205.22223	301.7	143999	605.43005	177.55325	897.7104	-414.69012	-617.7805	783.0804	2811.693324804306
37	309.95456	152.57523	575.32056	69.65692	341.60016	227.41797	920.23596	122.50314	185.09091	164.8	147999	597.71954	173.46085	1057.714	-543.943	-609.2054	726.2741	2898.1341047286987
38	308.89346	266.507	862.6491	59.54199	208.91196	123.321945	495.5919	81.44105	299.2857	151.8	151999	581.7495	166.07043	1066.1198	-596.9297	-592.5278	724.3811	2984.6214876174927
39	220.0553	265.26074	816.94495	0.20092553	196.21835	261.8378	799.7988	-167.49934	198.25	395.1	155999	570.76215	159.20387	948.72614	-527.0443	-581.4321	688.7275	3072.425168991089
40	294.22574	210.69693	755.75684	-91.662056	201.79745	205.59944	782.7238	44.03299	233.8125	249.6	159999	559.0476	156.03345	997.2464	-448.30344	-569.2915	651.54846	3160.0968379974365
41	84.41784	218.0709	796.32996	-285.2812	392.39026	278.469	1103.1963	70.76751	212.8	314.6	163999	551.33026	154.53264	1005.9351	-320.47952	-561.6307	629.75336	3248.18301820755
42	119.05169	194.41284	629.33325	-116.88528	262.9782	246.8327	959.12134	38.340263	193.80952	255.6	167999	548.1278	155.97209	996.1692	-415.22668	-558.39355	665.60803	3335.1708269119263
43	132.39058	164.26543	459.47668	-121.712425	456.748	300.2139	1021.9015	109.41273	235.9375	427.0	171999	545.20746	154.98463	923.21436	-291.568	-555.4055	653.12866	3424.1444387435913
44	178.92842	245.10257	955.65686	-309.73532	803.5571	22.156815	843.75696	773.464	214.05263	677.4	175999	545.4247	154.86214	875.61865	-362.39502	-555.89386	685.5567	3515.0908839702606
45	203.11722	23.077011	271.10498	148.90933	213.16267	24.490685	248.91116	176.86282	136.53334	130.1	179999	565.55475	168.15622	928.4155	-339.16965	-578.33575	766.21387	3602.073984861374
46	223.8778	65.982155	378.304	134.22934	430.58408	82.49746	588.26855	324.30234	142.0	254.7	183999	619.3827	184.85974	952.71045	-454.81552	-633.7055	948.19495	3688.734775543213
47	556.85315	337.96005	1449.5764	163.06187	265.5527	183.17076	583.14624	34.394184	363.63635	219.9	187999	647.0091	187.44278	963.20294	-692.3283	-660.2352	1012.5428	3776.1287631988525
48	326.18054	358.26477	1170.6298	1.5864304	151.55533	228.66832	488.2299	-286.00595	248.76471	172.8	191999	650.90656	183.21025	982.7925	-562.7138	-663.1023	941.0245	3862.9959790706635
49	291.0958	222.3231	836.51605	-61.7467	278.52582	168.23376	648.1466	124.277664	284.7857	232.0	195999	639.2815	175.31567	938.8272	-423.0062	-650.50104	850.5187	3950.424954175949
50	256.7681	199.54575	794.1046	16.94421	507.63397	103.891045	701.8899	342.3558	182.68182	326.8	199999	624.4591	167.46277	988.5284	-374.7393	-635.22394	798.24524	4038.6103749275208
51	423.09595	340.2761	1267.405	1.6167216	566.85077	173.09898	933.15656	313.1372	233.82353	354.9	203999	616.55225	161.61958	950.67303	-361.46628	-627.2795	815.9939	4126.970573186874
52	382.11057	276.47183	847.56866	28.629606	308.55865	296.05777	1079.6454	-40.095448	308.36365	310.7	207999	608.5446	158.1547	961.76276	-334.46234	-618.83026	779.05566	4214.561004400253
53	433.73294	372.23727	1261.7289	37.192043	149.5126	137.12953	303.61487	-52.251568	335.0	189.4	211999	597.5541	152.9879	1008.5102	-341.53897	-607.55035	735.3713	4299.937563896179
54	352.64032	247.58759	1164.5588	23.968534	267.75348	223.60234	857.14667	60.423183	266.35294	199.6	215999	585.7117	145.32224	981.6449	-587.05585	-595.09375	707.2616	4384.506034851074
55	489.2678	408.16837	1511.1079	49.49704	259.4226	101.482864	541.4607	180.00447	337.36365	174.8	219999	571.5373	139.34264	970.83185	-338.59262	-580.6861	659.2117	4468.08002114296
56	228.3145	161.51576	535.5125	-3.8872268	148.56737	104.25932	331.09668	57.16181	205.19048	128.1	223999	557.1153	138.17361	934.8349	-387.76022	-566.0124	653.144	4551.006494045258
57	261.64438	243.42697	758.05505	-33.38172	512.05524	222.82887	873.07635	256.44293	275.35715	346.2	227999	551.1702	136.64479	876.6763	-318.5548	-560.31415	681.7756	4635.8267385959625
