Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-128.45462	185.54636	7.519769	-660.2075	192.65	-0.08970125	0.1182167	0.28293923	-0.47110197	4000	-7.981062e-08	2771.295	-0.021870356	-824.92834	0.9189443	0.015442259	0.245	7.0	5.772786617279053
1	-164.76773	228.80908	-5.9482713	-654.4672	275.2143	-10.090992	0.2871561	-7.2838016	-10.342737	8000	-7.2479246e-08	1752.3221	-0.016747892	-424.0238	0.9173612	0.01631017	0.14125	7.0	11.853511571884155
2	-81.53587	119.97271	5.2329082	-583.25146	145.61539	-16.280518	0.11926361	-14.490461	-16.337038	12000	3.1352045e-08	964.94385	-0.013638431	-121.76007	0.91544616	0.01508396	0.18175	9.0	17.670103311538696
3	-85.19751	159.60933	16.609913	-598.62726	155.08696	-19.754831	0.10002937	-18.26472	-19.8028	16000	-3.4600497e-08	957.04535	-0.013118127	-151.26086	0.9131875	0.0151945455	0.17625	10.0	24.077689170837402
4	-190.54688	236.02739	12.841024	-613.1308	328.25	-23.645733	0.10096327	-20.766546	-23.677437	20000	-7.7486035e-09	1009.2204	-0.016347824	-222.68073	0.9109784	0.015721807	0.18775	10.0	30.460593223571777
5	-88.81069	164.83855	3.896126	-614.06793	171.71428	-28.345247	0.7770907	-11.30984	-28.452158	24000	-3.385544e-08	625.2947	-0.014432734	-65.827576	0.90878135	0.01581454	0.19425	10.0	37.176363706588745
6	-84.44831	106.89838	6.3787146	-542.298	139.71428	-29.605804	6.101099	30.155594	-30.906372	28000	2.7179718e-08	637.451	-0.014522504	-53.439636	0.90649194	0.015910458	0.201	11.0	43.5994930267334
7	-176.55365	222.61171	-5.609331	-543.9481	339.72726	-31.72954	2.488892	17.4086	-32.142376	32000	1.2159347e-08	354.08994	-0.015126568	-66.28732	0.9043538	0.017094176	0.1425	8.0	50.520355463027954
8	-126.28915	190.761	-1.1851821	-549.9952	221.94444	-34.32465	3.7656016	32.46164	-34.82728	36000	-1.5676022e-08	425.9093	-0.052839752	-55.180084	0.9028086	0.015205672	0.2385	63.0	57.74985098838806
9	-177.91331	219.56274	-10.670665	-597.27167	330.27274	-36.885063	3.0062342	29.077383	-37.270695	40000	2.0384789e-08	325.3068	-0.016699236	-48.499542	0.8892535	0.015348153	0.21	9.0	64.45686173439026
10	-94.323524	132.39009	9.735395	-492.07098	183.38095	-38.65867	5.776697	38.631092	-39.677162	44000	2.861023e-09	288.9791	-0.015589764	-35.386307	0.88736963	0.015051049	0.22525	10.0	70.81935358047485
11	-101.45714	141.90868	-9.233794	-458.5841	245.73334	-36.632317	6.725148	38.306927	-39.590725	48000	-3.5762786e-09	469.29715	-0.014490583	-147.32056	0.88564444	0.015873294	0.20325	11.0	77.04884243011475
12	-74.49403	96.91972	11.674196	-510.13812	141.24	-28.207752	10.811831	17.113808	-39.578545	52000	1.6689301e-09	415.75494	-0.016678335	-122.810394	0.8838834	0.015634492	0.23075	11.0	84.1309461593628
13	-86.478676	140.68996	-9.019859	-523.94257	180.52632	-34.673874	7.044231	-5.1977777	-40.553665	56000	8.225441e-09	329.4974	-0.016495584	-64.339966	0.88152033	0.01603903	0.15875	7.0	90.3520679473877
14	-98.62988	149.36995	3.0653677	-511.24664	193.6842	-33.90792	8.152712	2.9062636	-41.358986	60000	6.556511e-09	335.98602	-0.016273052	-94.53609	0.87971073	0.015243983	0.1845	11.0	97.31814432144165
15	-84.92494	146.23137	31.707804	-510.4252	194.11765	-37.783913	6.2275276	6.6561484	-42.103844	64000	1.37090685e-08	304.35245	-0.015021852	-130.07431	0.87675333	0.015220047	0.14625	6.0	103.92404007911682
16	-118.00345	148.42494	0.0067504738	-489.68005	244.625	-34.963814	10.759234	8.944234	-42.943863	68000	1.2159347e-08	184.23306	-0.015361823	-51.521362	0.87519735	0.016904294	0.234	8.0	110.5069100856781
17	-84.117546	128.2386	10.510393	-457.78586	189.1875	-35.603302	9.62972	9.575268	-43.25047	72000	1.3351441e-08	212.06874	-0.057204686	-79.58241	0.872997	0.010580515	0.246	79.0	118.04174494743347
18	-148.48561	173.26831	2.3227286	-486.04608	298.46155	-37.472073	10.273914	25.003006	-43.603992	76000	5.4836273e-09	243.1771	-0.018553926	-97.8203	0.8610472	0.016491776	0.244	10.0	124.24890470504761
19	-71.94277	111.951866	2.7026489	-393.85202	169.0	-40.02692	6.769329	5.8439894	-43.355526	80000	-1.525879e-08	209.3329	-0.04910882	-100.9132	0.8592661	0.015140341	0.2305	56.0	132.16429829597473
20	-60.7086	89.4556	1.6865268	-425.71988	142.36	-29.663548	10.791167	13.033103	-42.7876	84000	-2.014637e-08	330.95682	-0.015795885	-99.98923	0.8478708	0.018701077	0.205	7.0	138.34196376800537
21	-83.61918	116.17158	-1.6850121	-430.65408	188.09525	-30.175241	11.278348	15.998529	-42.554585	88000	-2.026558e-08	243.3253	-0.06323667	-78.41983	0.8467115	0.009893003	0.26925	79.0	146.6912636756897
22	-50.517056	95.43947	8.876763	-436.06973	132.31035	-30.577114	10.031085	8.882329	-42.099888	92000	1.1920929e-08	211.62386	-0.017801005	-74.331665	0.8384137	0.015956003	0.23425	8.0	152.83387875556946
23	-61.564217	104.23717	32.33525	-362.7981	183.19048	-28.532375	12.090504	12.986399	-41.634983	96000	-3.0994416e-09	219.79088	-0.016046226	-68.26274	0.83740205	0.015339872	0.21725	7.0	160.00144791603088
24	-36.508606	62.4988	27.18749	-302.74652	127.75	-25.474186	11.003912	10.548961	-40.019638	100000	3.1590461e-09	202.07028	-0.011615565	-80.41156	0.83579904	0.016748039	0.1755	6.0	166.43650197982788
25	-123.765335	139.4849	-0.89945847	-375.7413	396.5	-24.757648	8.97897	14.72474	-37.626232	104000	1.0251999e-08	151.76854	-0.015970819	-64.34146	0.8340366	0.015275365	0.224	9.0	172.90619325637817
26	-74.87346	113.68466	20.63775	-334.2822	229.47058	-29.078077	9.635271	3.3161588	-38.67328	108000	-1.5497207e-08	106.53564	-0.013996805	-32.27031	0.8306631	0.016437598	0.21925	7.0	179.48824834823608
27	-74.79284	120.06971	24.113117	-394.39563	216.66667	-29.872297	7.4519997	9.503827	-37.45888	112000	-5.722046e-09	91.30958	-0.016164675	-31.78614	0.8281638	0.017851077	0.1835	6.0	185.72672629356384
28	-30.04387	55.286552	24.392593	-304.94315	92.17073	-21.517084	10.912126	4.7307706	-38.629494	116000	1.07288365e-08	246.10643	-0.014938801	-69.09943	0.8260882	0.015016932	0.23325	9.0	192.71187019348145
29	-65.40648	109.67963	49.20801	-365.0269	190.3	-23.268444	10.281551	14.494018	-36.375957	120000	-1.168251e-08	381.0218	-0.0139855705	-113.23865	0.8233461	0.01632077	0.19425	7.0	199.13973999023438
30	-41.648182	100.555756	88.9764	-314.9275	184.47058	-26.751968	12.12066	28.037909	-38.62726	124000	-6.6757204e-09	215.46332	-0.017893339	-98.60609	0.8212283	0.015299842	0.2905	11.0	206.04069900512695
31	-43.671734	67.01123	6.3124084	-289.15097	166.625	-19.12825	13.683604	25.406088	-35.458065	128000	-1.4066696e-08	192.68275	-0.06240132	-73.83792	0.8182951	0.013079442	0.278	79.0	213.89273405075073
32	-38.553104	69.8025	35.50389	-272.93277	152.42308	-17.747429	9.647572	12.266594	-33.50123	132000	1.4305115e-09	136.3215	-0.018937986	-40.53012	0.8099823	0.017890401	0.228	8.0	220.3222463130951
33	-39.7719	53.356407	12.065282	-222.45108	141.52	-19.48496	8.778793	12.825749	-32.066135	136000	1.1920929e-09	110.58213	-0.06763035	-33.045082	0.80899453	0.010648964	0.318	79.0	228.17306113243103
34	-27.725859	71.7516	31.816824	-273.93112	133.3	-16.707716	8.805965	13.878995	-28.993023	140000	-2.336502e-08	264.09177	-0.018129794	-87.44319	0.7951282	0.018159145	0.248	7.0	234.46248269081116
