Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-320.22498	97.62772	-241.71585	-485.6508	1000.0	-0.025192155	0.24531671	0.6217825	-0.7009262	4000	1.8537044e-08	1084.0803	-0.055401333	-349.04077	0.91894394	0.013727591	0.25775	79.0	4.3048319816589355
1	-291.47977	58.78862	-240.7715	-388.46207	1000.0	-8.072267	1.4492741	-0.9416167	-9.588568	8000	-6.9499016e-08	537.611	-0.047183417	-248.2374	0.91446394	0.015022075	0.2255	55.0	8.244828701019287
2	-272.1663	74.33607	-182.19681	-371.32468	1000.0	-15.952359	0.620674	-9.035257	-16.335152	12000	6.0200693e-09	310.2532	-0.04478632	-63.835617	0.90470415	0.0150090195	0.21	47.0	12.631322622299194
3	-314.06033	85.61544	-186.53412	-416.5669	1000.0	-19.574045	1.4398891	2.1539035	-20.188448	16000	3.027916e-08	439.85245	-0.011973694	-71.00433	0.9028462	0.016951727	0.2265	7.0	17.125128984451294
4	-256.72656	94.63743	-179.25198	-416.3465	1000.0	-23.73874	1.4301684	2.3114886	-24.236917	20000	2.4080277e-08	207.42363	-0.011883468	-14.778961	0.9026285	0.015827492	0.1945	7.0	21.1449556350708
5	-290.12125	47.1406	-249.91785	-370.48578	1000.0	-22.569708	5.120893	20.089718	-25.10882	24000	7.629395e-09	236.43729	-0.03798951	-27.49681	0.9005476	0.015236285	0.1565	33.0	26.242622137069702
6	-182.73679	23.81257	-156.67157	-221.21712	1000.0	-24.77521	5.1793613	18.16323	-27.03302	28000	-2.014637e-08	192.45349	-0.009985095	-59.274796	0.89301825	0.0186312	0.196	6.0	30.30698871612549
7	-232.19684	65.87573	-130.61795	-307.7057	1000.0	-19.375803	6.3564816	7.890724	-26.493452	32000	-1.7881394e-10	119.9949	-0.008731068	-20.920425	0.89224607	0.01582917	0.20075	6.0	34.70256853103638
8	-261.14044	33.554443	-203.1038	-282.15594	1000.0	-22.085659	4.9573936	5.7846165	-26.741915	36000	-1.45435335e-08	134.07121	-0.009002529	-27.861893	0.89101464	0.018771045	0.203	6.0	39.01209831237793
9	-266.86792	66.559784	-201.82475	-354.81418	1000.0	-26.288757	3.6741126	6.256319	-28.10419	40000	2.4318695e-08	162.87807	-0.052960206	-20.79921	0.88982487	0.0151017355	0.2615	64.0	44.59090042114258
10	-189.8989	85.575226	-104.76162	-295.3896	1000.0	-24.343433	6.8527713	17.111732	-29.387445	44000	2.169609e-08	231.18144	-0.053946067	-61.354156	0.88318163	0.015018828	0.25675	69.0	50.35483002662659
11	-249.26941	54.030437	-184.81601	-318.83972	1000.0	-21.052578	7.2490225	12.5184765	-28.602728	48000	-8.106232e-09	166.96992	-0.012461827	-49.04167	0.8767706	0.015205938	0.195	7.0	55.22362947463989
12	-224.43839	48.317684	-158.02905	-278.80798	1000.0	-25.560968	5.2790136	17.039001	-28.745777	52000	2.1457671e-09	123.88867	-0.01106232	-24.918434	0.87562823	0.01714723	0.23475	6.0	60.02594566345215
13	-235.04494	48.90803	-181.34605	-294.59473	1000.0	-23.734907	4.7381763	7.153885	-28.145376	56000	7.867813e-09	96.80081	-0.051280387	-17.525337	0.87391347	0.015099025	0.2525	50.0	65.69206047058105
14	-166.24706	99.9903	-42.665943	-319.3347	1000.0	-20.879114	6.771369	6.500782	-28.809643	60000	-1.3828277e-08	296.98297	-0.036351737	-65.71634	0.8646341	0.015850687	0.1695	24.0	70.91156768798828
15	-200.92406	29.186914	-174.90265	-248.40474	1000.0	-18.171623	9.064403	25.506552	-28.669598	64000	-3.3378602e-09	128.30133	-0.04462956	-35.259514	0.8581891	0.0151914945	0.21	36.0	76.44812226295471
16	-172.25134	8.522885	-160.46204	-181.13657	1000.0	-20.123844	6.487921	10.9603615	-28.16895	68000	-9.775162e-09	163.6411	-0.013787214	-32.971375	0.8519725	0.015057261	0.16625	8.0	81.01369595527649
