Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	14.263344	10.952525	102.6934	1.9689116	23.327486	0.05978733	0.025947705	0.2083003	-0.07429417	4000	4.4703485e-09	128.24446	-0.015986118	-55.32013	0.9189426	0.017116161	0.1715	4.0	3.9524788856506348
1	29.544092	39.928417	260.8129	3.107442	32.65574	5.6913166	3.1291327	8.914933	-6.783829	8000	2.2172928e-08	1068.4745	-0.010586938	-219.40375	0.918558	0.015857372	0.24425	6.0	7.975649356842041
2	56.73919	48.152367	224.037	4.9915123	45.75862	14.92469	4.3823557	17.177279	-12.470089	12000	-3.9339065e-09	1204.423	-0.0144079495	-258.68384	0.91758025	0.015651744	0.26525	9.0	11.869826793670654
3	86.56028	56.564663	214.64464	6.2676044	55.48611	23.51773	4.826841	24.977562	-15.809837	16000	3.8504602e-08	1766.15	-0.018541135	-386.5841	0.91582286	0.009206389	0.12525	79.0	16.73852276802063
4	119.22625	49.791424	240.58098	18.332928	66.45	32.82127	2.5807037	33.20294	-4.233225	20000	-1.6212464e-08	1822.7262	-0.00785814	-355.91187	0.90749836	0.015045023	0.19325	7.0	20.865245819091797
5	126.65276	67.72706	253.13805	26.974424	69.7193	40.260475	2.3893504	40.58447	-3.3113477	24000	-3.4570693e-08	2178.091	-0.017169558	-319.6277	0.9068606	0.01140353	0.0985	79.0	25.454411506652832
6	166.85478	58.890938	233.7598	42.07365	83.020836	47.163147	0.008005785	47.165024	46.90085	28000	-6.341934e-08	2506.8115	-0.016306916	-393.802	0.8967787	0.0045606345	0.0925	79.0	30.212125539779663
7	195.5957	46.99632	256.74802	66.10681	91.860466	54.263985	0.002999234	54.26465	54.18146	32000	-6.055832e-08	2608.3796	-0.015321585	-401.30005	0.89819443	0.005839868	0.077	79.0	34.7597930431366
8	201.76291	42.5137	250.3955	70.49792	93.833336	61.19007	0.0066729435	61.190754	60.873302	36000	-2.6464463e-08	2300.632	-0.014678428	-278.08704	0.9095689	0.0062372726	0.0755	79.0	39.422929525375366
9	215.17685	33.88908	265.71625	102.24629	99.25	66.91082	0.03560243	66.91293	65.53398	40000	2.0384789e-08	2218.4421	-0.015094417	-231.58484	0.903774	0.009038656	0.08375	79.0	44.08573865890503
10	210.56429	39.266953	254.48059	81.22768	95.34146	72.095535	0.0009546926	72.0958	72.06547	44000	1.2159347e-08	2064.9927	-0.013278063	-157.1648	0.9109636	0.0056585204	0.0835	79.0	48.70057559013367
11	218.38936	37.378826	258.5443	72.8105	98.1	76.42498	0.0009635075	76.42523	76.40659	48000	-4.2915346e-08	1960.7632	-0.0135248555	-126.61438	0.90675855	0.0075255577	0.08125	79.0	53.26032567024231
12	228.47165	20.919046	294.17847	180.7006	103.1579	80.34426	0.0006609251	80.344444	80.331894	52000	-1.0609627e-08	1865.1964	-0.015188463	-91.63953	0.9049042	0.0067679966	0.086	79.0	58.34049415588379
13	227.62552	22.23666	285.0153	139.26228	101.5641	83.74699	0.00097514904	83.7472	83.718864	56000	2.2649765e-08	1751.4753	-0.01650765	-57.699707	0.9030689	0.008486127	0.112	79.0	63.10377240180969
14	227.86768	17.728615	255.76985	148.3147	102.63158	86.513985	0.00074149243	86.51417	86.500984	60000	3.0994416e-09	1728.8737	-0.014786815	-38.33203	0.8899375	0.007981725	0.1065	79.0	67.68424701690674
15	227.27464	33.767258	257.00455	56.155193	101.71795	88.81724	0.0006196241	88.817406	88.80618	64000	1.513958e-08	1716.7584	-0.0155447805	-23.127808	0.8881607	0.008596332	0.09525	79.0	72.2977225780487
16	229.47578	35.4648	294.09207	98.97825	101.23077	90.655525	0.0005383999	90.65568	90.64748	68000	-2.7656554e-08	1739.6931	-0.016820325	-21.449585	0.8953875	0.007857338	0.09225	79.0	77.01097464561462
17	230.18726	35.630768	276.04794	74.47527	101.89744	92.447876	0.00084116985	92.44807	92.42749	72000	3.3378602e-09	1721.9178	-0.018150939	-11.2595215	0.89318943	0.008691395	0.10625	79.0	82.10795331001282
18	240.00931	16.904535	290.75912	206.22498	104.57895	93.80036	0.0006951864	93.8005	93.785576	76000	-5.9604643e-10	1712.3425	-0.016819574	-17.932983	0.88775563	0.008902081	0.0885	79.0	86.84422278404236
