Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.070455	4.13049	28.0	4.0	9.070455	-0.028877258	0.06662941	0.17359331	-0.19413887	4000	-5.233288e-08	48.886337	-0.017407471	-35.401497	0.91893786	0.017011616	0.1995	7.0	4.987004280090332
1	10.497369	5.110103	31.0	4.0	10.497369	5.75508	1.0724237	6.87852	0.14136016	8000	1.0967255e-08	20.851843	-0.02244307	-3.0937347	0.9169327	0.015167184	0.1695	7.0	10.175906658172607
2	12.655064	6.992175	45.0	4.0	12.655064	6.7601147	1.35132	8.221022	-0.11141214	12000	3.5762786e-09	34.206905	-0.022558456	-4.5111427	0.9148692	0.015460582	0.15825	7.0	14.916207075119019
3	14.745387	7.8018427	67.0	5.0	14.745387	8.502174	2.0342007	10.832739	0.015259698	16000	1.9073487e-09	42.32687	-0.019553427	-4.1370544	0.91275036	0.016450828	0.15	8.0	20.460659742355347
4	17.758928	10.137665	60.0	5.0	17.758928	9.342709	2.5635865	12.37814	0.27897578	20000	2.0980835e-08	63.469894	-0.013979535	-12.854176	0.91007274	0.016479805	0.16825	11.0	25.614046812057495
5	23.838324	12.293963	72.0	5.0	23.838324	10.953017	3.6833053	15.428272	-0.3699718	24000	1.0609627e-08	74.232544	-0.024129132	-15.652172	0.90641564	0.015134331	0.16325	34.0	33.64611005783081
6	33.233334	24.2304	217.0	6.0	33.233334	13.319383	5.6312547	19.689104	0.2380313	28000	2.5272369e-08	286.2335	-0.01804426	-67.39624	0.8981632	0.015004864	0.17325	18.0	38.88909697532654
7	44.96552	25.09909	133.0	10.0	44.96552	20.158442	6.636139	26.31837	-2.1749625	32000	-4.2915342e-09	214.11519	-0.017097855	-40.92212	0.89291364	0.010695575	0.112	79.0	44.207550287246704
8	65.4	30.238605	152.0	13.0	65.4	25.1498	7.5069337	32.17804	-0.6995743	36000	6.198883e-09	255.55934	-0.015593245	-69.49173	0.8724268	0.007738973	0.09325	79.0	50.505335330963135
9	88.84091	36.370533	172.0	17.0	88.84091	31.13963	10.252582	40.740726	-1.322144	40000	-8.34465e-09	284.8018	-0.014723096	-93.585205	0.8488314	0.008370274	0.1115	79.0	56.48034310340881
