Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.823096	4.9862866	41.0	4.0	9.823096	-0.12171679	0.043404464	0.0029171705	-0.22498879	4000	3.2901763e-08	63.559357	-0.01662592	-44.843777	0.91893786	0.017123673	0.2	5.0	4.880734443664551
1	12.406833	7.295388	44.0	4.0	12.406833	6.2492833	0.97008103	7.3902974	0.6299581	8000	-1.6570091e-08	41.070545	-0.022979526	-5.470356	0.9174498	0.016470047	0.19225	8.0	10.310226917266846
2	14.449275	8.56101	50.0	4.0	14.449275	8.591098	1.5054905	9.862059	-1.4803939	12000	7.152557e-09	48.967747	-0.021152202	-2.8704796	0.91506356	0.016724858	0.19525	10.0	15.043691873550415
3	19.473171	11.685117	82.0	5.0	19.473171	9.618475	1.3996058	10.959475	-1.1564302	16000	1.4185906e-08	93.18828	-0.013473653	-10.170555	0.91214705	0.015786562	0.1785	13.0	20.57481837272644
4	24.93125	14.442178	89.0	5.0	24.93125	12.39879	1.9353293	14.146474	-3.5560756	20000	-3.6358834e-08	116.66057	-0.020890547	-14.147903	0.9086074	0.01004385	0.151	79.0	26.61438798904419
5	35.34513	21.615208	109.0	6.0	35.34513	14.859533	3.549681	17.401085	-12.279852	24000	-2.0503998e-08	223.76178	-0.01907402	-52.868683	0.8959561	0.007001826	0.125	79.0	35.17251753807068
6	42.31915	23.366285	142.0	6.0	42.31915	20.633726	3.63582	23.641382	-8.123698	28000	-1.1205673e-08	194.67236	-0.011509851	-28.61142	0.88992274	0.015678307	0.13425	12.0	39.920663356781006
7	60.246155	31.907574	165.0	9.0	60.246155	21.883587	6.9379735	28.261908	-3.6738524	32000	1.9073486e-08	309.4563	-0.013884803	-89.92598	0.88562024	0.005631372	0.0885	79.0	45.30077862739563
8	80.61224	34.017895	176.0	27.0	80.61224	28.416725	8.958751	36.82177	-1.7721229	36000	-1.2159347e-08	256.90912	-0.011176269	-70.99332	0.86986756	0.0031787292	0.069	79.0	51.58656620979309
9	107.432434	49.17401	327.0	38.0	107.432434	34.590797	12.009532	44.628567	1.6406629	40000	6.9141386e-09	302.08804	-0.013787514	-103.43356	0.8527853	0.0074544298	0.10175	79.0	57.70432901382446
10	128.96666	62.460915	329.0	54.0	128.96666	39.668995	15.515422	53.396122	1.6978697	44000	1.5974045e-08	283.4276	-0.010066614	-93.564896	0.848579	0.017705984	0.1435	6.0	62.75079655647278
11	206.36842	106.82411	425.0	29.0	206.36842	49.460228	15.553349	61.415592	1.6191001	48000	3.9458275e-08	576.83875	-0.010957637	-220.00787	0.84793663	0.02416737	0.21825	3.0	67.77714514732361
