Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-8.344618	1.400859	-6.468464	-10.245115	1000.0	-0.15341294	0.15009858	0.29295897	-0.42151266	4000	7.688999e-09	38.91604	-0.018658558	-21.826117	0.918941	0.013432342	0.13475	79.0	4.262159109115601
1	19.957758	8.78906	30.996685	8.549372	1000.0	-1.9462749	4.9642572	6.9752445	-8.113942	8000	-6.0200693e-09	70.37829	-0.008349452	-23.610485	0.9219661	0.015824229	0.1935	8.0	7.731299638748169
2	27.667332	11.444923	39.182636	8.982901	1000.0	-5.5584803	4.1817083	8.54249	-8.563405	12000	-1.502037e-08	82.164894	-0.014252625	-52.889774	0.92236125	0.019166457	0.2115	3.0	11.109776735305786
3	21.456488	3.5057082	24.856564	16.539848	1000.0	0.019134765	3.5879686	9.421351	-6.3160577	16000	1.07288365e-08	21.980402	-0.005378714	-7.6428366	0.92263055	0.018608252	0.29	3.0	14.520986795425415
4	20.63143	2.354521	22.939867	16.71599	1000.0	1.5819162	2.1726823	8.922558	-1.4957833	20000	-1.07288365e-08	10.179739	-0.0023279842	-5.1116886	0.9227941	0.018968645	0.29975	3.0	17.92562460899353
5	18.424448	6.754295	24.651644	7.013574	1000.0	0.77276146	1.6036044	10.584398	-3.7881577	24000	-3.0994416e-09	3.4014237	-0.001168246	-0.61960006	0.9230692	0.019892601	0.308	4.0	21.43129301071167
6	18.760353	4.9908314	23.893959	10.550028	1000.0	0.5882473	1.8889498	11.4888315	-0.49919513	28000	1.8835069e-08	2.9705012	-7.3762654e-05	-0.6049552	0.92314243	0.015889537	0.233	5.0	24.91017246246338
7	7.7551517	13.46832	21.368645	-7.8681693	1000.0	1.0388944	2.206503	12.683714	-0.81843495	32000	5.722046e-09	7.444792	-0.011377275	-1.9329443	0.92215586	0.0076202475	0.0515	79.0	29.146867275238037
8	21.077177	2.4381862	23.710033	17.979706	1000.0	0.1886919	1.7522575	12.388947	-1.4165965	36000	1.9073487e-09	4.481778	-0.007403324	-2.155861	0.9331934	0.0072695804	0.045	79.0	33.52674746513367
9	21.813534	2.5580914	25.763765	18.979908	1000.0	0.78082055	2.876856	13.973737	-1.5849491	40000	2.9206275e-09	4.1153293	-0.009383394	-2.1221724	0.9153594	0.006297784	0.0555	79.0	37.849610805511475
10	20.17923	1.3125507	21.486387	18.234028	1000.0	1.1520646	3.315502	15.872001	-1.101887	44000	7.1525574e-10	4.707323	-0.008875396	-2.655199	0.89980435	0.004493927	0.07325	79.0	42.18924903869629
11	21.361824	2.5000348	24.644947	17.933321	1000.0	0.32158187	3.3552558	17.569096	-1.0180892	48000	1.2338162e-08	1.7710848	-0.008860529	-0.36835504	0.89848167	0.002945006	0.05375	79.0	46.56647753715515
12	17.35554	3.5593958	20.290041	11.265623	1000.0	0.096249245	3.0778787	18.421293	-1.0227051	52000	7.867813e-09	1.8954759	-0.0048675123	-0.5383253	0.89569205	0.024127016	0.2675	3.0	50.01730561256409
13	21.577045	2.1440654	25.122875	19.74564	1000.0	0.1827033	3.2915897	18.477566	-1.2460531	56000	-1.66893e-08	1.1240796	-0.011369238	-0.5363798	0.8954162	0.0067266105	0.052	79.0	54.234740257263184
