Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.8924599	6.54437	38.42939	-8.556255	19.635468	0.109176494	0.34678861	0.7785667	-0.87199867	4000	2.9802323e-09	26.285906	-0.02495573	-5.8744545	0.91894394	0.015550488	0.2815	4.0	5.6894378662109375
1	6.0023084	8.226261	61.80683	-6.5516133	23.405882	1.2852876	2.0983458	6.541363	-3.9096582	8000	1.1920929e-08	37.177803	-0.027168395	-5.6913147	0.9187604	0.018222434	0.28575	5.0	11.013782262802124
2	10.435551	10.194203	74.2664	-5.821308	28.571428	3.3388555	2.6669867	9.341143	-5.6357946	12000	-1.0490417e-08	53.62735	-0.022333445	-9.700188	0.9180233	0.020196635	0.27275	5.0	16.327136993408203
3	17.91655	14.10473	66.00204	-1.0675522	37.771427	5.2511845	3.5215614	12.739427	-7.398891	16000	1.8954276e-08	109.11261	-0.018251901	-28.70662	0.9171547	0.017498976	0.215	5.0	21.438299655914307
4	32.27792	31.760998	197.69183	0.4607879	53.9863	9.416957	6.2645993	18.727783	-17.974672	20000	2.3424626e-08	411.1105	-0.013247919	-115.44153	0.9163876	0.017579008	0.27725	7.0	27.310038805007935
5	67.33247	69.073814	302.52997	5.665506	87.91111	14.495059	13.427128	29.900385	-29.230547	24000	1.525879e-08	1240.3177	-0.043717373	-346.45337	0.9147786	0.013789578	0.20325	79.0	33.79285144805908
6	68.61485	54.508133	214.42746	5.227302	96.46342	23.631805	18.709919	43.126926	-34.869698	28000	-2.8014182e-09	503.23343	-0.016059598	-73.285675	0.904241	0.015412808	0.13175	13.0	39.47769546508789
7	104.154366	89.67211	275.14117	-2.4741454	122.0625	26.128576	21.649519	47.246414	-31.976711	32000	6.556511e-09	1268.6973	-0.048604585	-329.1294	0.9012514	0.015089658	0.22825	74.0	46.04864144325256
8	146.7271	105.2723	335.9987	-9.358291	135.51724	42.21471	22.416391	54.977837	-35.489845	36000	1.4066696e-08	1607.8413	-0.049039915	-321.87036	0.8910044	0.007002725	0.21125	79.0	52.88041138648987
9	151.66673	107.896904	415.08655	-10.060768	163.5	46.261078	29.043118	64.58754	-54.972836	40000	-5.722046e-09	1023.37787	-0.05106702	-240.51367	0.8844987	0.01230959	0.2295	79.0	59.48324489593506
10	184.8492	98.82975	328.32333	28.40228	161.83333	54.0797	27.641218	69.90453	-26.224953	44000	-1.4305115e-09	1157.4265	-0.046278697	-227.19312	0.87910634	0.015040534	0.23275	64.0	65.35408473014832
11	196.60327	83.58841	337.07498	27.522356	158.04167	62.818832	27.40977	76.51181	-21.192133	48000	-5.2452087e-09	1084.9712	-0.044659454	-153.34119	0.87235343	0.015018168	0.2115	60.0	71.2600793838501
12	209.13588	105.974785	388.24347	43.863415	177.68182	62.155376	32.382793	82.64007	-23.849644	52000	-6.556511e-09	1183.45	-0.011158404	-172.39105	0.86737347	0.0155582465	0.20575	7.0	76.47940564155579
13	220.35535	126.76133	431.39572	24.701908	207.10527	60.856274	36.359318	86.406654	-38.563614	56000	1.5974045e-08	1276.409	-0.010144654	-365.46277	0.8664484	0.015686536	0.1755	7.0	81.44696855545044
14	259.15182	130.94157	560.6277	10.616931	215.55556	69.44709	32.81506	86.60966	-21.901878	60000	2.0503998e-08	1074.2661	-0.009189531	-210.34515	0.86452204	0.018151918	0.21375	6.0	87.1283791065216
15	252.65137	70.51215	381.608	43.36089	183.04762	80.72677	24.238768	90.17677	-30.539835	64000	7.867813e-09	1074.1072	-0.010565708	-130.81561	0.8627148	0.015237961	0.20625	7.0	92.07613968849182
16	211.94359	105.8444	406.67776	7.0117054	185.2381	63.183495	42.280357	90.70718	-22.902708	68000	1.2397766e-08	1114.033	-0.011598874	-221.76471	0.86103517	0.015774485	0.20925	5.0	96.88878083229065
17	253.47713	139.84644	583.3751	33.754967	209.8421	71.46542	33.686863	90.39555	-29.791979	72000	1.1444092e-08	1115.9133	-0.041172728	-156.44019	0.8604839	0.015007801	0.17925	59.0	102.96576809883118
18	337.2861	162.16147	765.1626	67.79792	268.85715	82.91447	25.29534	94.20354	-17.60696	76000	7.152557e-09	843.79913	-0.049667582	-196.91003	0.85943073	0.009921532	0.23575	79.0	109.71076464653015
19	250.44267	96.76266	498.73026	10.125089	191.36842	81.963844	31.317963	95.46357	-23.59683	80000	-4.4107438e-09	959.96356	-0.0523219	-141.37079	0.85462177	0.01359567	0.25975	79.0	115.89157009124756
20	318.9688	188.7106	1021.3605	112.44847	246.6875	78.63767	31.13099	93.71936	-19.899763	84000	-1.4066696e-08	953.21497	-0.053293638	-168.28589	0.84780824	0.015029059	0.244	78.0	122.25951433181763
21	278.97366	142.30383	652.999	28.726303	208.3158	88.386116	26.43534	97.70993	-20.15658	88000	7.867813e-09	1102.3224	-0.00967395	-158.79993	0.85004413	0.015080288	0.19	5.0	127.27190947532654
22	352.51114	215.49164	951.0636	11.042827	263.26666	89.375465	24.428688	98.09115	-24.51056	92000	2.3841857e-09	1130.739	-0.05307088	-370.39777	0.8496447	0.013452345	0.265	79.0	134.19265365600586
23	283.06992	148.9702	766.4839	13.89597	210.1579	93.358505	23.178383	98.50439	-23.576946	96000	-8.34465e-09	1005.0744	-0.055356927	-202.89624	0.84626514	0.013401468	0.28525	79.0	141.10666227340698
24	290.12878	92.62717	453.80786	72.94904	229.94118	82.44833	32.36808	96.05491	-40.178295	100000	2.9802323e-09	784.72174	-0.053027116	-106.449646	0.8456583	0.014402628	0.26975	79.0	147.27054166793823
25	344.46555	200.15211	910.5045	62.049717	291.15384	86.922935	27.612291	96.776505	-28.25072	104000	-1.4781952e-08	694.3788	-0.052005854	-80.263245	0.84553343	0.010696632	0.2615	79.0	153.480073928833
26	244.50269	118.13089	433.6695	17.468594	198.1	75.20598	39.9264	95.59747	-28.168745	108000	1.2874604e-08	859.7926	-0.011516045	-83.331116	0.8437935	0.017421594	0.18125	5.0	158.6210880279541
27	330.62955	229.30238	924.8683	36.223003	279.0	80.34513	31.923162	96.27409	-19.160936	112000	-4.172325e-09	703.8001	-0.008256904	-101.77411	0.8434707	0.015695259	0.1955	4.0	164.1699538230896
28	283.371	99.69182	583.7216	81.51939	187.14285	92.6965	20.674936	97.80089	-25.731852	116000	7.7486035e-09	1121.3335	-0.006279627	-64.960815	0.84318227	0.018679615	0.253	4.0	169.86421537399292
29	404.99817	224.79018	770.00037	114.618576	324.75	89.400734	27.808294	99.27252	-21.027317	120000	2.9802323e-09	665.3657	-0.053622384	-79.86322	0.8429686	0.010061276	0.26925	79.0	178.37309074401855
30	322.76035	80.77574	565.99207	206.89253	199.89473	100.96742	5.121592	102.31805	17.750406	124000	-1.9073487e-09	977.941	-0.05240505	-58.659485	0.8353181	0.009355079	0.26725	79.0	186.2872335910797
31	336.10825	195.00424	984.07446	128.90773	246.8	100.334984	16.822119	103.4716	-21.769949	128000	8.5830685e-09	732.7761	-0.051892146	-96.485596	0.83964217	0.0095611885	0.263	79.0	192.73187685012817
32	297.6653	109.935005	629.5259	122.2321	202.64706	96.26376	19.421638	100.99148	-20.232338	132000	-7.152557e-09	793.61334	-0.053646978	-32.30957	0.841945	0.0130545385	0.26475	79.0	199.22458243370056
33	323.52405	62.799507	453.97668	243.80971	195.52942	97.36721	9.373517	99.595665	4.2122707	136000	-2.026558e-09	1091.8807	-0.011056514	-156.42078	0.83930784	0.015628	0.22625	5.0	203.9989492893219
34	388.0401	262.39914	1054.8383	204.69199	280.57144	103.92271	0.85601264	103.94747	52.505005	140000	2.6226044e-09	668.9834	-0.010447019	-12.14978	0.838981	0.016383713	0.255	5.0	208.7743456363678
35	327.1528	85.24128	544.56085	241.19098	210.8	100.885475	0.37348473	100.909744	85.72709	144000	-7.629395e-09	780.0517	-0.052750487	-7.225769	0.8383345	0.0106002055	0.287	79.0	215.1545147895813
36	466.64944	283.3872	1059.3434	229.52592	353.45456	103.224075	0.37630492	103.2489	88.470276	148000	3.671646e-08	603.7046	-0.015512376	-10.596558	0.8354839	0.015279501	0.2385	7.0	222.1240861415863
37	370.20004	206.81927	955.1842	225.32706	262.64285	106.2125	0.092600785	106.22324	102.37813	152000	2.384186e-10	634.81335	-0.05200926	-25.225037	0.8351721	0.010697472	0.27575	79.0	228.49107480049133
38	339.5592	207.37349	938.84265	199.84456	219.4375	101.56518	0.010393198	101.567444	101.23952	156000	-1.168251e-08	756.89154	-0.010907158	-0.64105225	0.83741957	0.017251281	0.261	5.0	233.77760815620422
39	323.13086	237.88882	1012.77594	12.450269	250.25	97.50544	22.167313	102.29898	-23.672941	160000	1.192093e-10	817.57697	-0.051221706	-262.21686	0.836811	0.011187417	0.2845	79.0	240.20241022109985
40	545.5651	284.20413	977.29205	274.39856	441.42856	99.98501	3.7473168	100.88063	32.90313	164000	-5.722046e-09	352.47232	-0.010530335	-13.425049	0.83563876	0.016197331	0.25125	6.0	245.2268750667572
41	388.4061	149.12737	902.25726	266.53305	257.8	99.11008	8.575132	100.30463	-0.47366512	168000	9.536743e-09	890.61536	-0.012030147	-168.27979	0.834985	0.01552077	0.224	5.0	250.39957571029663
42	343.18216	178.37381	1029.3687	214.93066	227.94118	106.81726	0.05595729	106.82205	104.42796	172000	-6.6757204e-09	795.00665	-0.008669968	-12.410095	0.8341519	0.015858365	0.20325	4.0	255.3467357158661
43	359.00964	177.13869	1024.4523	267.75858	246.5625	103.52069	0.012009271	103.5229	103.13121	176000	-1.1444092e-08	704.6651	-0.009232912	-0.75097656	0.83350515	0.018937305	0.22925	5.0	260.6543028354645
44	333.17303	81.007034	583.8433	241.02083	208.21053	102.69023	0.017539956	102.69239	101.751854	180000	-6.556511e-09	896.5494	-0.00845287	-4.204773	0.83295053	0.016571855	0.2105	6.0	266.11279296875
45	319.73566	66.50968	513.1152	210.9979	199.3	104.6575	0.012035874	104.65942	104.16587	184000	1.9252301e-08	921.1871	-0.054127283	-2.0335083	0.8327802	0.008247812	0.26	79.0	273.22686862945557
46	306.83374	91.82879	513.99915	180.01042	197.6	101.46641	14.082954	103.28288	-21.143572	188000	1.847744e-08	1161.8125	-0.05473196	-242.95734	0.8304151	0.01073163	0.291	79.0	279.8561294078827
47	284.10516	62.03675	382.44122	116.79148	177.85	98.962105	18.729471	103.33295	-21.176638	192000	-6.556511e-09	1034.8181	-0.03733808	-36.770996	0.824604	0.015013915	0.1975	27.0	285.3075678348541
48	358.6316	147.84909	841.3408	246.31079	231.0	102.12075	1.9815519	102.278015	0.03169298	196000	-7.2717667e-09	794.1885	-0.05377755	-16.95514	0.82099456	0.007104065	0.28025	79.0	291.6642973423004
49	385.13635	151.2405	918.3407	263.28818	255.53334	105.32264	0.2235524	105.348885	95.80182	200000	4.4107438e-09	757.77295	-0.01150031	-3.0084229	0.8155736	0.017744984	0.22125	5.0	297.18818759918213
50	339.8383	72.03692	524.101	249.95062	207.6842	106.929245	0.29680166	106.96362	99.45329	204000	9.775162e-09	958.2259	-0.008887355	-0.5385132	0.8157562	0.020204343	0.26725	5.0	302.3574504852295
51	302.8352	47.69911	444.47693	215.53221	174.22728	107.21603	0.07995195	107.2199	102.44238	208000	-8.8214875e-09	1050.6947	-0.009278738	-3.3328857	0.8158074	0.016858768	0.20075	5.0	307.65905356407166
52	309.63083	50.41052	418.46973	229.35008	186.66667	105.40281	0.025494033	105.40624	104.437325	212000	-1.1444092e-08	967.9512	-0.010230861	-4.7506104	0.8156104	0.018719152	0.2645	5.0	312.438175201416
53	306.88535	76.49369	602.41925	231.91565	184.80952	103.087975	1.9160374	103.215744	38.14638	216000	1.07288365e-08	1025.2686	-0.007830463	-2.689209	0.8154003	0.018099453	0.205	4.0	317.486958026886
54	321.4213	46.326878	436.93723	221.05165	194.05	104.21803	0.0593196	104.22473	101.26719	220000	8.8214875e-09	980.8178	-0.0403702	-2.788147	0.81507975	0.015113007	0.2315	30.0	323.0856821537018
55	319.32355	85.419	613.81067	253.30937	193.1	105.900894	0.11800951	105.90503	98.495964	224000	6.9141386e-09	952.71136	-0.055624835	-0.17901611	0.8159447	0.009444987	0.2735	79.0	329.73335576057434
56	325.45493	59.330097	439.13284	224.11568	191.05	105.505745	0.006621647	105.50724	105.30629	228000	-7.7486035e-09	1058.5006	-0.05344872	-16.438232	0.81915706	0.013194933	0.28175	79.0	336.1124122142792
57	327.2081	78.19082	582.6507	228.01855	197.6	109.62041	0.04697382	109.62431	108.1964	232000	7.1525574e-10	995.0566	-0.05467654	-8.9036255	0.82225513	0.013732574	0.2795	79.0	343.3720371723175
58	320.0833	79.37915	477.56766	93.44123	199.85	103.99333	17.017927	106.592	-19.513502	236000	6.556511e-09	1150.6367	-0.053169448	-119.975464	0.8237749	0.012106909	0.2605	79.0	350.33669328689575
