Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-36.04663	60.052456	8.179907	-317.33163	-60.200104	51.282463	3.9626977	-152.75035	100.71429	453.4	3999	5.992943	4.900933	31.009428	-8.093378	5.993069	4.901142	31.347998	-7.749667	-3.5900216	2.1995168	13.249105	-15.308056	-7.388745	1.2266945	76.76455664634705
2	-95.858284	137.9433	10.327685	-404.9907	-282.68613	366.8162	-9.377274	-898.64514	252.1875	339.4	7999	25.461397	9.315528	67.75409	-9.067547	25.46229	9.313026	69.21889	-9.049061	-0.6106291	3.2466633	23.716911	-17.125982	-27.639076	4.1813293	177.0523099899292
3	-79.95615	161.51094	8.4342165	-798.6183	22.08924	49.84759	108.87098	-39.37395	142.15384	302.2	11999	50.11607	8.8891115	88.12686	-24.529469	50.116314	8.888961	86.24763	-24.456142	-0.17546566	3.5904226	29.29152	-16.859142	-52.135128	10.632439	277.1959674358368
4	-62.480274	146.96138	26.568855	-478.15085	155.42119	113.3875	468.0307	46.31551	242.94737	308.1	15999	52.86657	7.6299353	82.281235	-41.27552	52.866405	7.632823	81.607956	-42.32817	-2.253012	2.563035	23.8828	-15.255545	-53.878334	9.836407	377.9833643436432
5	-38.884052	100.96506	39.07849	-347.67487	492.246	190.09074	858.4446	132.61775	218.72223	778.6	19999	48.243656	7.4792976	76.88285	-25.472616	48.244625	7.4766693	75.97965	-24.649158	-2.6331658	2.3109496	23.788734	-14.621754	-49.057125	8.91504	484.25700306892395
6	-46.217335	108.394135	85.84793	-290.61087	542.713	157.34444	692.3817	145.52077	375.36365	882.7	23999	43.38237	7.454675	72.88834	-29.706371	43.38232	7.452158	73.71292	-22.105333	-2.8039474	2.234503	22.222946	-16.6628	-44.135136	7.4252553	592.4517042636871
7	10.327511	42.720463	88.45688	-64.372	542.7091	316.6545	903.26965	54.558064	354.54544	695.6	27999	40.19334	7.5506053	71.24994	-24.299475	40.19311	7.5483932	71.057755	-29.915045	-2.9077163	2.1754305	23.24052	-16.063503	-40.909523	6.8762417	697.2178132534027
8	88.49267	67.35131	160.20555	-52.332672	587.0246	334.0285	896.9364	49.63058	456.85715	721.3	31999	38.55028	7.795745	68.99721	-24.508371	38.549904	7.7956147	67.19658	-24.803852	-2.9422483	2.194578	32.560703	-17.573921	-39.2366	6.2449503	802.6861727237701
9	60.687637	58.126106	201.75783	-41.301823	735.6906	244.51329	885.7945	17.775616	307.15384	904.2	35999	38.078648	8.244341	70.17079	-25.340366	38.07832	8.242947	69.14984	-21.528563	-2.9700975	2.1667893	27.700178	-13.955009	-38.736683	6.425622	910.239729642868
10	77.77926	81.93307	178.26956	-40.452114	622.2018	205.96425	747.11444	22.327124	697.8571	902.8	39999	37.92597	8.409937	69.27454	-23.578983	37.925636	8.408279	70.683105	-23.052866	-2.968061	2.1787174	24.295319	-14.656381	-38.58571	6.0818214	1017.4721057415009
11	95.52171	27.262205	128.42484	65.069756	705.4018	215.6973	906.0792	204.28732	646.0	925.1	43999	38.334393	8.607766	71.97605	-23.00084	38.334045	8.608007	70.5241	-23.021051	-2.9917781	2.1726189	23.44888	-14.320326	-38.975517	5.983583	1123.6060609817505
12	107.090866	47.69373	175.2809	49.98182	646.778	240.9493	937.937	186.12904	1000.0	929.8	47999	38.96899	8.600798	76.42361	-24.402016	38.968853	8.59932	78.15213	-31.90834	-3.0417898	2.1784012	27.531105	-15.864183	-39.61586	5.545702	1230.6727595329285
13	101.61281	119.756905	380.30203	-3.0904589	782.87665	122.19949	952.8985	583.458	571.625	951.6	51999	40.10681	8.5722065	78.51972	-27.701317	40.10658	8.569818	77.23734	-21.852346	-3.08763	2.2002158	25.589146	-13.869067	-40.756702	5.6073027	1338.3053767681122
14	78.47792	98.48058	318.48355	-4.2978706	558.1325	376.3971	935.4041	12.701309	515.875	634.8	55999	41.40322	8.246895	78.3891	-24.142136	41.40314	8.245694	78.08339	-26.096048	-3.1438007	2.1664379	29.013718	-14.147287	-42.041576	5.501337	1442.6460378170013
15	135.37607	31.716875	195.5256	104.06513	567.4067	191.20161	757.08966	182.35652	693.6	772.6	59999	42.75187	7.7454395	78.56591	-35.468452	42.75183	7.7434897	78.90836	-30.208971	-3.2251363	2.1215682	22.253828	-17.474138	-43.375595	5.2897224	1548.1242129802704
16	131.34564	94.37265	293.74338	-1.7555577	695.6436	395.3225	1026.9421	70.46894	443.0	726.8	63999	44.23229	7.293036	77.15682	-30.156801	44.232616	7.293903	77.78083	-19.002232	-3.2591736	2.0911758	24.244772	-14.653847	-44.856804	5.169658	1654.3014686107635
17	115.06245	62.277718	175.9177	6.8573375	698.89484	345.08456	990.2461	119.29203	695.0	745.2	67999	45.784855	6.95752	80.21087	-29.543657	45.784935	6.955111	80.696884	-33.104416	-3.287412	2.0736735	23.010065	-15.417191	-46.40875	5.1972566	1760.6899790763855
18	135.84192	49.830418	217.00908	55.116577	754.74896	353.80515	1213.8083	56.958935	641.4286	766.3	71999	47.471233	6.6873007	79.511375	-35.625263	47.471504	6.6884937	79.42037	-24.774006	-3.2897704	2.0901268	21.564713	-14.881917	-48.102875	5.0599675	1868.9020774364471
19	113.26255	53.909992	160.43155	10.076931	831.26306	256.73788	1043.8678	185.88547	803.2	862.2	75999	49.12628	6.5240583	80.69426	-28.85228	49.12675	6.522017	79.58029	-23.303932	-3.305064	2.094443	27.116434	-13.279095	-49.767654	4.935533	1981.188648223877
20	110.689384	46.85463	179.85649	36.0891	765.3911	314.53238	974.3858	110.75568	491.2857	836.2	79999	50.830486	6.5913405	82.050316	-28.149628	50.8308	6.5886097	80.47796	-27.520838	-3.3110645	2.1041548	24.511715	-14.681911	-51.479816	4.935708	2097.444719314575
21	161.80835	86.29656	287.4545	53.964165	956.05646	41.57234	1008.3532	881.9503	600.0	984.9	83999	52.602135	6.5909295	81.66463	-29.870243	52.602573	6.586348	82.82127	-27.581934	-3.326091	2.0892153	27.540804	-19.788605	-53.245323	4.850722	2214.978877067566
22	202.11143	163.04749	512.6752	14.232568	869.2427	275.64716	1062.6052	53.461216	685.3333	902.8	87999	54.04784	6.7888503	87.49053	-34.599148	54.0479	6.783905	86.73267	-30.880762	-3.3409588	2.0631063	27.502096	-16.17432	-54.682617	5.026728	2332.3369932174683
23	205.98647	82.56683	282.23648	74.833916	969.17755	34.958927	1043.3533	926.3049	595.1429	1000.0	91999	55.45507	6.9935684	88.233116	-30.275782	55.455414	6.98985	89.09412	-22.930817	-3.3478172	2.0556383	28.619282	-17.209007	-56.089134	4.9646087	2451.4798517227173
24	224.34964	122.56083	384.48544	14.501732	802.3993	179.69568	968.3505	459.2962	804.6	902.7	95999	56.91502	7.218881	86.9708	-40.36411	56.91537	7.2121124	90.34843	-45.304626	-3.3537147	2.0830684	26.834846	-16.903347	-57.54994	5.173042	2568.3552985191345
25	200.81458	122.73094	340.71487	29.321823	658.8217	334.48273	996.9637	107.38196	677.8	733.8	99999	58.408943	7.4240417	88.357735	-41.61967	58.409145	7.417046	87.8168	-43.592026	-3.3736162	2.0764837	27.539524	-16.320946	-59.0413	5.058584	2684.3994743824005
26	221.12363	21.220808	255.6702	194.92427	835.0825	274.79092	998.8169	31.043676	839.6	902.0	103999	59.83583	7.7208867	92.62595	-24.129726	59.835957	7.7175245	91.81686	-27.469904	-3.354914	2.1025867	32.579258	-14.23152	-60.473392	5.0244255	2801.68857049942
27	132.02391	104.15795	261.44205	0.66099894	838.651	242.69337	996.9883	117.662605	545.375	908.5	107999	61.247856	7.94859	96.46004	-28.414465	61.24806	7.942685	96.12243	-27.211065	-3.3366356	2.1267736	33.387806	-16.639954	-61.887604	5.189782	2920.266926765442
