Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-290.82788	69.75689	-226.14088	-398.91483	-509.34344	66.266556	-424.90085	-635.86865	1000.0	1000.0	3999	3.597688	3.081841	21.779305	-5.395045	3.5980046	3.080578	21.796362	-4.3296194	-3.0665886	1.575911	10.715214	-12.28013	-4.502581	0.7107636	66.97187161445618
2	-328.6658	66.29077	-271.8953	-440.0378	-425.58746	134.62389	-291.1078	-694.2059	1000.0	1000.0	7999	16.0842	6.9063673	44.68983	-4.375056	16.084476	6.9049683	44.970146	-4.0944033	-0.8525149	2.7625566	17.672108	-14.940141	-17.471466	2.3905635	156.09675574302673
3	-272.59	44.297062	-212.19441	-330.8771	290.82034	272.21738	806.55414	11.921182	1000.0	1000.0	11999	34.820923	8.844021	82.68505	9.375083	34.820644	8.843282	85.078545	9.4835005	-0.14411739	3.105057	20.950623	-13.392464	-36.30857	4.419904	247.16289734840393
4	174.9371	364.25516	758.0954	-210.2088	1078.8942	394.78275	1439.2983	281.4193	1000.0	1000.0	15999	40.92071	11.734123	78.07365	11.531811	40.920296	11.73463	79.08137	11.865131	-1.9455532	2.1741135	15.491953	-12.156014	-41.629257	4.086194	338.4979486465454
5	660.85913	474.93787	1186.7423	120.08829	1794.1692	65.79505	1911.5289	1677.2666	1000.0	1000.0	19999	42.43006	15.038791	84.79737	11.334629	42.430126	15.039321	83.4797	11.943164	-2.1504405	2.1155343	13.362815	-13.150421	-43.059345	3.4468212	429.2415955066681
6	1025.4828	607.1233	1438.8402	-23.614868	2151.9517	57.768116	2224.9636	2007.8864	1000.0	1000.0	23999	48.38613	18.892345	97.41394	9.714083	48.38607	18.892097	96.98751	10.294387	-1.796547	2.405643	18.26458	-13.852589	-49.046803	4.1427965	517.8093574047089
7	2077.875	198.95049	2420.7024	1943.9526	2842.422	124.79335	2989.2014	2575.9285	1000.0	1000.0	27999	59.309856	24.155493	129.42319	11.611509	59.309624	24.154896	127.730484	13.161514	-1.2072783	2.747101	17.240335	-13.225029	-59.992958	5.494981	606.2921087741852
8	2475.9531	275.58563	2883.4492	2118.8032	3244.5022	100.58706	3472.7063	3090.896	1000.0	1000.0	31999	74.49001	30.188702	149.77968	14.3031025	74.48984	30.188143	148.73079	13.887467	-0.5798843	3.0353851	22.982208	-13.778356	-75.167046	7.2639756	694.2633867263794
9	2829.6016	189.7386	3036.7927	2523.4585	3286.7642	55.742245	3383.42	3214.0684	1000.0	1000.0	35999	91.82716	36.50682	179.97998	14.404398	91.82682	36.505844	181.02298	14.95664	-0.019861575	3.2890317	22.246696	-18.190958	-92.48509	9.258718	782.7178342342377
10	3175.5227	151.98723	3348.0156	2938.9668	3686.5574	99.47161	3852.5715	3522.5388	1000.0	1000.0	39999	109.79607	41.87985	201.24399	15.330269	109.79584	41.87956	199.59793	15.871237	0.37828133	3.441139	22.647905	-14.225956	-110.40041	11.551532	871.5540142059326
