Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	19.017899	17.520817	114.3548	4.451728	213.02893	1.5195656	215.37837	210.55779	23.08721	91.8	3999	9.762392	7.1920657	52.74687	-10.190631	9.762654	7.19472	52.03353	-10.101802	-0.4245813	1.8119327	12.426839	-10.490224	-10.829585	1.4465737	49.264426946640015
2	16.528706	12.456662	78.40887	5.4757323	205.99374	1.888406	210.20877	203.8825	21.057592	89.9	7999	38.5319	19.160494	143.91483	-32.271378	38.53195	19.167439	146.37134	-28.018517	1.5167052	2.367915	19.900608	-11.537474	-41.982513	13.364092	115.33422327041626
3	46.064243	70.27193	219.74884	6.311589	185.48898	2.2043283	188.40399	180.54382	33.846153	103.6	11999	91.34593	40.50938	242.42938	-63.780807	91.34499	40.523506	241.58427	-62.440987	2.8116977	2.579217	19.155176	-10.382425	-98.68906	63.505814	180.5093924999237
4	192.69283	16.961285	231.06429	145.54807	211.80374	1.187313	213.29333	210.3113	99.65	97.5	15999	157.73856	49.586464	246.45177	-85.77981	157.73903	49.61835	238.93764	-94.50885	3.3194	2.8468912	31.145496	-10.878933	-165.85078	103.91177	247.56157064437866
5	225.82077	21.3833	268.2607	175.6312	276.50253	1.0167065	277.77725	274.93414	104.8421	118.6	19999	173.70222	55.112255	253.49272	-242.08827	173.70367	55.124275	250.01654	-186.87918	2.7516608	2.976112	28.546108	-13.409697	-180.15002	93.6214	314.1039071083069
6	231.0485	92.23028	338.63443	46.973846	391.7186	2.5483465	396.02155	388.14847	106.36842	206.7	23999	169.44804	60.51381	249.4007	-420.34384	169.44843	60.52861	250.36642	-323.48962	2.4536266	3.0008402	32.987274	-10.799863	-175.0321	88.93331	381.45286750793457
7	378.64606	201.01984	935.47955	28.394812	321.0633	9.667383	333.41733	304.6171	249.8125	139.8	27999	173.00264	56.432785	255.7014	-116.36703	173.00185	56.439087	257.46408	-94.45212	2.530056	3.102127	32.170013	-12.12577	-178.19594	102.541595	449.54270935058594
8	279.02097	99.15431	464.58838	18.497385	336.49826	2.1056995	340.68222	333.44318	125.9375	148.1	31999	172.79004	57.26516	245.85727	-138.5596	172.7862	57.27969	247.84377	-84.24695	2.0740948	2.9664752	37.916935	-12.863778	-177.02232	92.38387	515.5421142578125
9	414.3185	230.8593	1027.3895	247.25409	1034.8486	4.7878203	1040.4308	1026.6573	297.58334	1000.0	35999	167.47716	57.08305	267.2736	-136.13269	167.47719	57.081764	275.14682	-108.44144	1.8566843	2.8282394	41.216763	-12.377061	-171.13872	80.60818	587.0492718219757
10	358.50586	201.5986	1200.4061	118.6702	327.59064	1.2579807	328.9978	325.14648	198.72728	117.7	39999	165.6217	54.529633	283.67877	-136.8035	165.62144	54.528553	267.37634	-130.34541	1.7433417	2.6911306	50.010445	-11.104991	-168.84291	74.21605	655.1717121601105
11	342.11624	57.318382	615.96985	283.84583	309.83478	7.3219347	320.13974	296.15033	134.46666	131.3	43999	159.86255	54.04535	230.2001	-198.443	159.8618	54.051422	229.70802	-155.29149	1.6831853	2.6292288	35.968018	-12.338753	-162.6601	62.20622	724.3918325901031
