Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1.0982409	6.3484	6.733527	-10.267352	36.67115	3.3426259	42.560535	30.355047	1000.0	1000.0	3999	5.468139	4.445653	26.284586	-2.9252057	5.467961	4.44626	25.885649	-2.9232864	0.2497916	1.4788028	5.2889123	-13.532633	-6.4216723	0.16201988	60.4564003944397
2	8.256383	4.499912	14.811212	2.0960274	23.62991	3.5914986	27.05393	17.252659	1000.0	1000.0	7999	22.659966	7.000223	51.642887	4.3947377	22.659752	7.001414	51.957413	4.540936	0.6306701	1.5141681	13.203117	-10.406253	-23.836775	0.35012543	142.11081075668335
3	21.119041	12.404777	32.722	0.27112952	27.368576	0.71167874	28.759079	26.292976	1000.0	1000.0	11999	39.35344	7.696061	83.94581	17.26207	39.353233	7.696396	83.379944	17.34038	0.45849797	1.5426759	10.3302765	-9.698698	-40.387375	0.42794836	225.1670937538147
4	25.34793	7.0237303	36.27398	16.810448	29.9475	0.9150536	31.65092	28.47556	1000.0	1000.0	15999	49.10162	9.529989	104.647	21.562124	49.10157	9.530459	104.940544	21.652258	-0.24067564	1.3282555	6.5480356	-11.365402	-49.63695	0.36152887	309.0761339664459
5	20.788006	5.987681	30.511507	14.161436	14.190287	0.9578408	15.922154	13.214052	1000.0	1000.0	19999	52.07559	10.118076	94.55343	21.351091	52.07548	10.118492	94.103584	22.536991	-0.5504298	1.1814669	6.1928434	-9.39993	-52.459045	0.27005875	392.75088024139404
6	33.341652	3.59206	38.03788	28.189474	32.117645	0.58518356	33.079254	31.479076	1000.0	1000.0	23999	51.29153	8.790203	85.81672	25.362331	51.2915	8.790311	85.76219	25.511848	-0.7257839	1.0757647	5.271219	-12.467761	-51.603508	0.1882453	476.61832761764526
7	35.334053	8.596014	50.103065	28.63563	37.63209	12.134357	62.18231	30.121399	1000.0	1000.0	27999	48.8464	7.1352477	77.301216	25.600363	48.846394	7.135381	76.57404	25.617851	-0.7785814	1.0154091	4.5452724	-8.372323	-49.145805	0.14939979	559.9380588531494
8	30.74525	5.091272	35.930984	23.592789	29.084341	2.517592	36.01099	25.931381	1000.0	1000.0	31999	46.135914	6.5126047	71.53926	26.79153	46.13583	6.5126295	71.28762	26.534367	-0.8841509	0.9251092	4.4660883	-8.747365	-46.39907	0.11615919	643.0811588764191
9	32.433685	1.5215485	34.124268	30.485998	39.65072	0.9884794	41.75375	38.177826	1000.0	1000.0	35999	43.2294	5.9675403	67.847115	28.283098	43.229343	5.96773	67.86708	28.396622	-0.89667046	0.9193679	4.5395236	-8.0390415	-43.50238	0.097303115	725.2734811306
10	31.03421	3.2786276	35.99784	27.929909	39.71736	3.8124328	45.37377	33.514885	1000.0	1000.0	39999	40.633446	6.078615	64.164085	27.292345	40.633427	6.0789337	63.894646	27.60502	-0.94041485	0.8789892	3.3275962	-8.874337	-40.90028	0.08149547	808.7411713600159
11	32.88954	2.8454247	37.802727	30.910595	36.600925	6.2665343	41.37384	24.045322	1000.0	1000.0	43999	38.27087	6.391095	61.949642	26.532242	38.27084	6.391277	62.01663	26.465387	-0.9938897	0.82965803	3.375525	-8.741598	-38.530197	0.06941736	891.3107869625092
12	34.095463	3.1627557	38.32668	30.33879	40.81497	2.472707	44.912586	36.53478	1000.0	1000.0	47999	36.175304	6.541602	60.841995	25.31047	36.17529	6.5416765	60.67949	25.489561	-1.0335546	0.78628695	3.235164	-8.34082	-36.426937	0.059069015	975.2247042655945
13	31.862823	1.3713523	33.439575	29.734818	40.800446	1.2195305	43.020477	39.120033	1000.0	1000.0	51999	34.516354	6.5956364	58.54512	24.591143	34.51633	6.595709	58.465878	24.583534	-1.0482849	0.77107036	2.625742	-7.755245	-34.76958	0.054047965	1058.582102060318
14	32.709793	2.3795269	35.73807	29.418394	37.68405	4.6081676	43.069153	29.73937	1000.0	1000.0	55999	33.190956	6.6252866	57.42782	23.822289	33.190945	6.6253715	57.449196	23.797047	-1.0655876	0.7505567	2.6279836	-8.390385	-33.44354	0.050427523	1143.5336310863495
15	28.962795	3.5573113	32.90892	23.76044	36.979107	2.707717	41.451958	31.741488	1000.0	1000.0	59999	32.124496	6.630558	57.008297	23.371264	32.12448	6.6306214	56.855423	23.516012	-1.0721848	0.7477575	2.7110286	-10.18682	-32.380344	0.046020925	1230.0765669345856
16	29.231695	2.4430895	31.794537	25.21084	39.33895	3.957696	43.87001	31.059566	1000.0	1000.0	63999	31.268532	6.6903534	56.51607	23.036905	31.26853	6.6904116	56.830135	23.132782	-1.0870384	0.734602	2.6414635	-8.290432	-31.521255	0.0438109	1317.110568523407
17	31.067776	1.5442984	32.95485	28.682812	38.604744	1.8019109	41.543644	36.12021	1000.0	1000.0	67999	30.579355	6.657498	56.819668	22.618784	30.579353	6.657534	56.680035	22.597965	-1.1015114	0.7149779	2.716846	-8.1798	-30.83141	0.040781174	1409.6119940280914
18	31.255405	1.3332431	32.8865	29.215063	36.82145	4.9852285	42.04643	28.727707	1000.0	1000.0	71999	30.009382	6.6053934	56.06863	22.224102	30.009367	6.6054335	56.156437	22.060915	-1.1097918	0.70696634	2.8264852	-7.4156218	-30.256527	0.040733654	1508.258305311203
19	30.924255	2.6312866	34.69801	27.7671	39.983463	1.730699	42.330666	36.595318	1000.0	1000.0	75999	29.527615	6.529935	55.989212	22.067837	29.527622	6.5299654	55.777813	22.249043	-1.1199054	0.68996465	2.7268043	-7.335038	-29.77648	0.03771391	1612.41379404068
20	32.12681	2.257584	35.39937	29.063742	40.502632	1.4461142	42.543983	37.09878	1000.0	1000.0	79999	29.141914	6.4811153	55.743538	21.951443	29.141865	6.4811635	55.797962	22.08674	-1.1242503	0.6867257	2.984479	-7.836589	-29.391449	0.037052035	1718.7778358459473
21	31.893787	1.5513384	33.952232	30.349348	39.31622	3.8479629	42.389412	31.311432	1000.0	1000.0	83999	28.836412	6.4095507	55.982544	21.856642	28.83645	6.4095836	55.73896	21.748596	-1.1327734	0.6729	2.4272966	-8.911528	-29.087143	0.03480468	1826.9678182601929
22	27.860008	2.1897252	30.401276	25.542145	39.980858	3.3210514	44.373837	33.97963	1000.0	1000.0	87999	28.56013	6.3435836	55.31264	21.473293	28.560118	6.343624	55.44652	21.452068	-1.1394475	0.67140627	2.5969825	-7.321157	-28.809563	0.03410084	1937.5733706951141
23	30.097591	1.7072725	32.286922	27.931377	39.256485	3.0843766	43.25325	34.1604	1000.0	1000.0	91999	28.343044	6.269318	54.845455	21.455584	28.343044	6.26935	54.76538	21.398945	-1.147508	0.65702623	2.6615987	-7.634726	-28.59309	0.033169273	2049.071724653244
24	30.01628	0.52189094	30.802723	29.45239	40.015152	2.179609	43.141346	36.968803	1000.0	1000.0	95999	28.161583	6.2075634	55.009506	21.650951	28.161562	6.2076035	55.26183	21.179474	-1.1509798	0.6567285	2.9725394	-7.349244	-28.409676	0.032497235	2162.6044478416443
25	30.214872	3.4248946	34.482452	26.790993	40.53056	1.0378913	41.67543	38.146645	1000.0	1000.0	99999	28.018677	6.169426	55.33125	21.578587	28.018667	6.169473	55.231335	21.462336	-1.1538559	0.6504919	2.9946659	-7.8543844	-28.265633	0.030817695	2277.448624610901
26	32.050465	1.7903777	34.983894	30.299887	39.643856	1.0278195	41.469215	38.29511	1000.0	1000.0	103999	27.83056	6.085758	54.817024	21.246561	27.83057	6.0857863	55.13244	21.331303	-1.1636564	0.63725144	2.4032114	-7.992511	-28.075377	0.030954555	2393.220494031906
27	30.4358	1.9555871	33.09998	28.383797	40.855854	1.7728026	43.144753	37.457623	1000.0	1000.0	107999	27.718008	6.0442805	55.5776	20.96874	27.718012	6.044305	55.475044	20.989828	-1.164426	0.63641185	2.5567617	-8.71612	-27.963282	0.029377384	2510.937326192856
28	29.249432	2.403327	32.420815	26.36191	40.473053	2.7832327	42.859154	34.37903	1000.0	1000.0	111999	27.610847	5.9889183	55.41182	21.023546	27.610853	5.9889464	55.73549	21.495428	-1.171604	0.6268757	2.4948058	-6.5760956	-27.856918	0.028981186	2628.9954216480255
29	27.868174	0.8212093	29.208048	27.016232	40.34413	1.775138	42.752598	37.470284	1000.0	1000.0	115999	27.518717	5.934456	55.18327	21.381033	27.518707	5.934483	54.994617	21.241632	-1.1745172	0.62119865	2.6403239	-7.510989	-27.765339	0.027773403	2749.1795728206635
30	30.118505	3.3141465	35.636986	27.488728	40.32972	1.3615605	42.21312	37.104565	1000.0	1000.0	119999	27.429428	5.8654075	54.09901	21.328115	27.429413	5.865421	54.290012	21.417198	-1.1786612	0.61492544	2.6331096	-7.7244663	-27.675402	0.02767157	2870.534393787384
31	31.286572	1.0195274	32.34477	29.651424	40.997032	1.9153048	43.544456	37.370316	1000.0	1000.0	123999	27.379192	5.818771	55.995224	21.271795	27.379202	5.8188243	55.705044	21.052229	-1.1819271	0.6114997	3.2857559	-8.277235	-27.623583	0.027905347	2993.4018862247467
32	31.68679	4.973365	35.08028	23.095747	39.847233	2.644971	42.958504	35.01907	1000.0	1000.0	127999	27.29098	5.742986	55.54471	20.72163	27.290977	5.742997	55.318012	21.399788	-1.1840622	0.6096444	2.5550637	-8.35465	-27.53687	0.02672308	3117.1402962207794
33	30.396479	1.7862031	32.913425	28.074484	40.643257	2.6521041	42.824806	34.242867	1000.0	1000.0	131999	27.24406	5.7062387	55.57181	20.573387	27.244072	5.7062726	55.514988	20.510967	-1.1857371	0.6063754	2.5623393	-7.8157215	-27.48738	0.026413089	3242.720005750656
34	31.751509	1.7648197	33.44281	29.209051	39.78949	1.5444565	41.992386	36.32891	1000.0	1000.0	135999	27.183744	5.642948	55.434647	20.839817	27.183737	5.6430054	55.43815	20.513401	-1.1871619	0.60247386	2.7049806	-7.4565797	-27.42861	0.026478134	3368.068623781204
35	28.248821	1.7889508	30.300877	25.770927	38.75164	1.6439189	41.656628	35.9246	1000.0	1000.0	139999	27.144156	5.6064816	55.15593	20.014996	27.144148	5.6064873	55.260723	19.997679	-1.1899208	0.60004234	2.7867754	-7.3183646	-27.389397	0.025202341	3496.563836812973
36	30.196259	1.2542176	31.386452	28.182621	39.624847	1.5450989	42.73431	37.618168	1000.0	1000.0	143999	27.095818	5.5552707	55.428375	20.100237	27.095816	5.5552964	55.32265	19.5582	-1.1917883	0.5957063	2.8902123	-8.623499	-27.339087	0.025474919	3625.223746776581
37	28.817009	2.0823996	31.266542	26.36042	43.27644	1.5091196	45.10506	40.36626	1000.0	1000.0	147999	27.056843	5.521844	55.10049	20.810558	27.056835	5.5218353	55.142136	20.775824	-1.1973267	0.5877156	2.5148773	-7.5542126	-27.300152	0.024980452	3754.6084685325623
38	30.682884	1.9295053	33.34214	27.919405	43.248257	2.0407853	45.558514	39.887115	1000.0	1000.0	151999	27.02483	5.4638968	55.128185	20.735512	27.024843	5.463955	55.00918	20.18666	-1.1978043	0.5903314	2.941647	-8.095707	-27.26795	0.02420107	3883.826663017273
39	30.382853	1.7362723	32.265846	27.8748	40.76792	1.8169428	43.644997	36.848156	1000.0	1000.0	155999	26.992947	5.4170303	55.5293	20.642767	26.99293	5.4170694	55.62999	20.405605	-1.198512	0.5850003	2.5731869	-12.139111	-27.236406	0.023889665	4014.7553355693817
