Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	2.4695506	6.3079934	31.250345	-11.922196	74.31951	13.488329	98.55009	54.564724	20.879581	187.3	3999	9.871048	7.82369	37.102036	-12.500629	9.871522	7.8241663	36.301037	-11.966423	0.020130606	3.0037267	17.684193	-13.658203	-12.167437	1.6538076	85.03708028793335
2	2.7424014	6.1706066	28.93797	-7.5359645	248.42484	178.98563	759.8382	125.932175	21.846994	233.1	7999	42.799194	15.135143	76.775536	-33.244785	42.799446	15.135034	77.53569	-29.545052	1.9570339	4.0881763	35.61082	-15.315199	-47.16709	15.613847	199.04535579681396
3	7.9519277	27.222525	192.95972	-21.670204	23.33324	49.55154	141.36386	-27.219498	32.454544	188.2	11999	68.73458	17.65504	136.53773	-39.71711	68.7326	17.62907	146.33107	-50.334526	1.2812241	4.768295	47.8709	-14.290544	-73.532196	36.13558	314.17618560791016
4	74.61159	103.333046	353.04944	-20.947685	88.613495	138.74411	376.25876	-2.3558495	137.82759	180.4	15999	74.62861	19.267488	151.73056	-37.69696	74.62686	19.266298	154.4664	-34.916195	-0.091194496	4.223625	47.588806	-14.122425	-78.15652	34.81441	430.14138650894165
5	51.111458	88.53771	416.36807	-19.58382	60.440083	54.625237	196.16179	-10.731892	184.4762	112.4	19999	74.88494	21.871134	163.96208	-63.546165	74.88297	21.871117	164.67137	-65.9224	-0.15590781	3.9439309	37.072033	-13.792486	-77.84953	36.9535	544.4524054527283
6	161.91905	129.12503	598.56396	4.4810524	30.98411	107.9985	308.51624	-61.492363	165.8	185.0	23999	75.86797	23.60156	159.15489	-67.07871	75.86679	23.589787	157.01144	-69.01869	-0.06939144	3.8112972	40.833714	-14.125636	-78.306335	42.299736	658.3675634860992
7	184.66525	141.57146	524.40485	-14.208564	260.22516	104.729645	410.2424	92.224396	192.61905	252.8	27999	75.87827	24.395906	141.11205	-61.969204	75.87784	24.397846	144.57265	-61.813255	-0.004581713	3.7221575	39.553246	-14.696791	-78.0161	38.243816	772.630898475647
8	220.07214	129.49548	538.199	-30.42483	198.4205	142.05597	475.27618	46.599915	187.28572	239.6	31999	78.078804	25.153542	146.86871	-54.610905	78.08019	25.141777	149.88164	-54.733196	-0.019613618	3.6797473	38.34577	-12.988191	-80.04652	38.641537	886.4727604389191
9	212.02443	106.31712	467.10767	11.360374	270.16855	228.37355	652.5383	-30.474573	184.86363	360.9	35999	81.33591	25.603796	159.67798	-45.118633	81.33682	25.58472	162.64154	-48.29181	-0.045782812	3.6221342	36.78493	-16.476707	-83.11433	39.433327	1001.5947008132935
10	253.79192	132.37552	565.90076	45.77681	324.71793	70.267426	491.57504	232.38866	207.52632	191.5	39999	83.54582	26.160442	172.94556	-61.19714	83.546906	26.151209	168.56839	-51.8521	-0.05592763	3.556834	36.39186	-14.160618	-85.20108	39.60875	1115.4834554195404
