Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-48.36967	79.482475	17.18103	-312.23785	-72.41261	45.443493	-18.993355	-161.9838	146.92592	51.5	3999	0.2712427	2.3506434	14.692647	-14.6052065	0.27129334	2.3512168	14.60613	-13.977532	-1.3826214	0.38568616	58.760422706604004
2	-40.736645	78.63244	24.971548	-328.61526	-543.4684	714.5022	-10.780296	-1655.6927	132.7	328.8	7999	5.0789204	4.519247	29.928667	-14.3734865	5.0790906	4.5191584	29.690344	-14.75211	-7.511382	1.4920855	152.4346158504486
3	-75.25299	208.53697	18.465952	-1157.5796	-17.83251	60.783543	96.53872	-103.79652	116.68965	423.6	11999	12.273725	5.7203507	42.65976	-12.093691	12.274728	5.7291517	42.80475	-13.089823	-15.36122	3.7455027	247.23631477355957
4	-24.490423	97.24513	61.9044	-253.96005	71.57038	66.31988	183.29852	-0.7608905	435.0	357.7	15999	13.930536	7.0970335	46.067326	-17.157349	13.929434	7.1080785	45.892498	-16.663578	-16.32639	3.8812275	342.26712822914124
5	57.867004	109.73159	209.79088	-167.46228	91.311005	96.85487	283.84293	-11.232659	587.4286	402.1	19999	12.698839	8.158985	51.94879	-18.335182	12.6986475	8.163406	53.55395	-19.483707	-14.78458	3.6217182	438.3840446472168
6	115.14552	124.90311	343.9548	-13.515274	240.2439	188.4579	490.842	0.7922906	662.8571	597.9	23999	11.015612	8.731795	48.74724	-20.891264	11.015187	8.7336035	49.86743	-20.652414	-12.884441	3.0336483	537.0902745723724
7	162.87463	194.16606	512.8432	2.7269251	217.67746	277.5163	737.7504	3.5187373	352.54544	393.0	27999	10.061074	8.8064165	45.618935	-23.7347	10.059721	8.808509	45.43399	-21.406265	-11.812111	2.7765772	632.9731676578522
8	266.0292	171.04509	466.02762	78.21238	94.525566	177.89693	618.86743	-1.0584972	621.0	175.8	31999	10.234962	8.373791	45.239456	-24.934797	10.234412	8.376109	45.324074	-24.976809	-11.86583	2.7393038	724.3379149436951
9	135.16216	192.61472	526.7549	5.961068	156.93712	221.5896	624.41364	-2.7561216	295.14285	276.2	35999	11.03362	7.760789	44.991795	-26.114712	11.033463	7.7629323	46.24325	-27.528822	-12.560525	2.903	818.2806198596954
10	181.40965	183.79431	552.6327	7.254301	249.32715	267.37054	688.8305	5.88801	360.54544	377.3	39999	11.875809	7.2415123	51.26759	-29.593668	11.875594	7.243538	49.0974	-30.41848	-13.382654	3.0903652	911.3856081962585
