Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-252.3592	47.19185	-197.89442	-321.40433	-524.3413	3.297594	-519.6299	-529.2664	1000.0	1000.0	3999	0.21621557	1.801716	9.750453	-5.9948683	0.2167105	1.8028697	9.545932	-5.833293	-0.91102993	0.28528118	43.03173232078552
2	-272.53296	68.90314	-163.9036	-355.33844	-594.7585	82.37998	-414.9887	-712.309	1000.0	1000.0	7999	4.50517	4.2862616	22.572454	-10.521833	4.5055733	4.2872744	23.59927	-9.820642	-6.199168	0.9828359	97.37016940116882
3	-430.1587	137.73575	-232.72382	-611.9654	-391.83173	142.50487	-142.65276	-550.9836	1000.0	1000.0	11999	13.707694	6.5804152	36.9086	-7.2114325	13.708467	6.5806713	37.57891	-6.1959605	-15.887774	2.1321592	153.23275804519653
4	-380.98138	55.62078	-310.22165	-463.83786	-10.446875	178.67943	321.79352	-218.51616	1000.0	1000.0	15999	17.654177	9.168367	51.355587	-7.5466256	17.654772	9.168581	51.931763	-6.0507956	-19.367064	3.1178114	209.46539402008057
5	669.8651	251.78833	1023.3909	311.72482	599.8993	456.59427	1159.687	-119.67766	1000.0	1000.0	19999	17.945518	12.682399	48.221977	-7.8051424	17.945705	12.684463	49.00321	-8.256608	-19.153204	2.3342373	265.7548041343689
6	1111.6395	642.11127	1688.133	26.395063	1247.5831	682.8716	2189.806	121.05302	1000.0	1000.0	23999	20.847692	16.507761	66.55665	-10.618806	20.847748	16.508854	66.60364	-11.361267	-22.115856	2.4927535	321.94205045700073
7	2109.5962	232.48938	2401.1816	1871.5111	1951.7903	634.9016	2464.212	407.8158	1000.0	1000.0	27999	29.126127	21.64549	92.84838	-11.778324	29.126743	21.646738	93.03646	-11.462045	-30.644049	4.2517285	377.46400237083435
8	1284.0929	549.1868	1678.75	337.05588	1601.4553	898.95593	2948.7522	198.66159	1000.0	1000.0	31999	38.666973	28.441572	119.99148	-13.360147	38.66659	28.444332	120.90925	-12.979977	-40.44019	6.4923086	433.2208728790283
9	2400.117	999.24963	3127.6074	690.3434	2603.4727	924.46515	3580.3806	1024.999	1000.0	1000.0	35999	47.96784	37.00094	142.36563	-15.80987	47.967945	37.002563	141.89569	-15.602399	-49.895977	9.84366	489.57814359664917
10	2320.19	1266.9	3614.896	366.80923	2788.699	983.5844	3651.0874	211.23993	1000.0	1000.0	39999	61.23038	45.731842	161.36282	-21.600592	61.230274	45.732693	160.5964	-19.835209	-63.470074	13.888742	546.0584833621979
11	2881.3027	1371.3815	3760.8877	507.97482	3288.888	717.0028	3757.0984	1183.4136	1000.0	1000.0	43999	75.40903	54.79359	176.8465	-25.437939	75.408	54.79484	177.14507	-24.866411	-77.69335	16.31951	602.2822675704956
12	3948.193	128.85681	4097.7104	3759.2102	4266.9995	60.930363	4359.486	4154.298	1000.0	1000.0	47999	92.40922	62.923965	200.1498	-30.248104	92.40798	62.925373	197.94214	-25.88549	-95.01048	17.254147	658.3060457706451
13	4282.8384	78.327736	4397.4453	4183.6606	4497.494	78.00151	4643.3276	4391.5127	1000.0	1000.0	51999	110.96543	70.53828	227.46605	-28.873785	110.96472	70.53849	222.59225	-31.336063	-113.590836	16.827648	714.6875050067902
14	4491.7935	118.02506	4609.7847	4295.275	4407.767	43.823284	4460.157	4298.093	1000.0	1000.0	55999	129.8689	77.169815	242.7735	-43.221153	129.86806	77.1704	241.27417	-35.317272	-132.49683	17.939674	771.2938783168793
15	3857.7173	1367.6279	4784.631	1493.6934	5448.1147	64.761696	5544.534	5331.2285	1000.0	1000.0	59999	146.93948	84.043434	265.54608	-43.166637	146.93956	84.043144	265.0416	-40.34133	-149.92003	18.991985	827.7958734035492
16	3513.4675	1492.6842	4841.7666	1068.9568	5265.777	1290.8845	5791.9253	1395.5516	1000.0	1000.0	63999	160.6329	91.80521	286.55768	-43.9887	160.63278	91.80547	286.38947	-43.32344	-163.3599	22.516914	884.1445608139038
17	4289.374	694.33704	4761.4023	3090.1692	4811.6807	573.091	5304.337	3160.8699	1000.0	1000.0	67999	175.11938	98.79394	303.61523	-66.53995	175.1192	98.79495	301.5197	-47.340763	-178.08212	26.482208	941.0711824893951
18	4840.239	68.001724	4941.8994	4768.983	4598.102	82.14886	4726.9814	4423.906	1000.0	1000.0	71999	191.6046	103.45564	317.8302	-56.039894	191.60445	103.45697	318.5413	-62.276154	-194.35074	28.977617	999.5641167163849
19	4940.9893	120.32944	5082.635	4801.366	3418.332	1891.4993	4937.1377	101.21541	1000.0	1000.0	75999	207.05624	107.863075	334.37195	-57.781834	207.0552	107.86537	335.5022	-72.87647	-209.68277	28.851364	1058.3722054958344
20	5008.938	41.890797	5055.0127	4947.658	5860.8975	117.95406	6040.755	5633.635	1000.0	1000.0	79999	222.22192	111.43615	347.61887	-58.094593	222.22144	111.43801	347.84186	-61.810776	-224.96431	30.368097	1118.3448836803436
21	5181.2817	68.489876	5268.2524	5077.2803	4187.219	594.99426	4881.6	2732.661	1000.0	1000.0	83999	236.545	114.623924	362.2857	-63.540916	236.54488	114.62534	362.55316	-53.323025	-239.31122	29.627403	1178.8296747207642
22	5419.4683	32.7768	5456.2524	5374.8765	4661.8413	418.78192	5089.679	3724.8958	1000.0	1000.0	87999	250.28296	117.79421	375.12177	-64.42109	250.28223	117.79682	375.79675	-55.601078	-253.23328	28.7387	1240.4351181983948
23	5352.7256	196.37624	5551.505	5026.908	5826.3037	92.94593	5974.2935	5634.3228	1000.0	1000.0	91999	264.1383	120.11656	389.74014	-64.624245	264.1383	120.11803	390.6238	-59.81455	-266.7423	28.840149	1301.8561072349548
24	5250.174	62.971886	5342.931	5189.83	6005.1157	69.26068	6092.789	5880.167	1000.0	1000.0	95999	276.09183	122.68078	397.2295	-62.513485	276.09164	122.68209	396.5741	-61.859615	-278.7808	31.403994	1362.7668159008026
25	5460.1313	139.78717	5683.593	5305.24	5617.0723	110.79511	5718.276	5346.419	1000.0	1000.0	99999	287.81586	124.60756	407.081	-78.0358	287.81577	124.609116	408.33325	-73.68946	-290.88513	31.671175	1424.3663153648376
26	5469.7354	105.62306	5616.039	5317.7803	5750.1265	62.11635	5839.887	5647.5083	1000.0	1000.0	103999	299.46542	125.409134	417.49728	-77.25547	299.46494	125.41045	419.38165	-103.6836	-302.40225	31.422821	1485.4793593883514
27	5503.1235	99.42823	5620.2954	5373.7476	5557.944	82.1747	5653.078	5390.034	1000.0	1000.0	107999	310.1269	126.33774	426.78983	-77.097015	310.1271	126.33832	427.19318	-78.7939	-313.05157	29.817947	1547.2715783119202
28	5563.578	110.03907	5686.2075	5406.6523	5624.243	106.708115	5787.5435	5404.9956	1000.0	1000.0	111999	319.52576	127.950096	435.51752	-75.97709	319.52533	127.95127	437.23987	-71.490814	-321.86707	29.249775	1609.626339673996
29	5480.143	133.1577	5610.5737	5257.535	5581.8857	105.2432	5754.392	5370.8657	1000.0	1000.0	115999	328.7678	128.53598	441.9779	-46.10076	328.7673	128.53767	443.40817	-43.92955	-331.37112	28.800388	1671.2522625923157
30	5625.051	115.84535	5789.758	5479.061	5997.79	91.01169	6148.2153	5875.1646	1000.0	1000.0	119999	337.27573	129.40805	447.71988	-62.43808	337.27557	129.40848	449.177	-58.905396	-339.87024	28.45477	1732.499732017517
31	5636.713	15.068347	5653.173	5612.833	6191.893	142.56857	6444.093	5917.4697	1000.0	1000.0	123999	345.55225	130.35678	454.7539	-68.620964	345.55225	130.35754	454.23163	-79.48082	-348.1902	28.865786	1795.0612213611603
32	5692.3296	112.22118	5809.538	5510.267	6187.5845	164.99986	6556.2246	5986.2427	1000.0	1000.0	127999	353.32983	131.09276	461.9531	-82.01756	353.3306	131.09154	462.76904	-73.18551	-355.90915	27.558199	1856.5527136325836
33	5650.25	119.472855	5820.646	5502.2	6105.7837	79.759766	6211.1714	6014.6533	1000.0	1000.0	131999	361.30536	131.17123	467.80194	-96.95873	361.30563	131.17126	470.11316	-79.99901	-363.48938	26.785511	1919.3878962993622
34	5641.5615	31.38736	5680.849	5593.786	5914.024	61.957535	6010.4165	5821.254	1000.0	1000.0	135999	368.86584	130.50087	472.40802	-63.06662	368.86615	130.50049	473.95914	-63.698357	-371.15256	26.531633	1983.2208383083344
35	5668.065	72.950356	5779.0254	5574.1587	5857.6235	93.51542	6019.7114	5662.381	1000.0	1000.0	139999	375.21036	131.10123	477.91183	-74.3109	375.2106	131.1013	477.20776	-84.82424	-377.78027	26.891352	2047.8145651817322
36	5632.7	121.76789	5765.4346	5437.115	6110.501	81.39832	6209.9414	5924.3237	1000.0	1000.0	143999	381.72052	130.5827	487.68402	-78.44257	381.72012	130.583	481.98495	-74.68198	-384.3315	26.658415	2112.9896461963654
37	5739.51	84.038765	5842.8486	5630.215	6250.753	84.086914	6434.1914	6124.7764	1000.0	1000.0	147999	387.78168	130.21039	488.63498	-107.70698	387.7816	130.21135	488.30023	-72.060684	-389.85437	25.47998	2177.472476005554
38	5679.8	57.571594	5757.6963	5601.429	5612.5947	163.45872	5763.3506	5261.59	1000.0	1000.0	151999	393.03336	130.35904	494.61713	-71.561874	393.03357	130.35968	494.54547	-77.763855	-395.1584	25.205647	2243.4034667015076
39	5685.1455	116.6127	5853.0356	5566.2744	5626.075	125.60916	5800.182	5409.216	1000.0	1000.0	155999	398.01157	130.28645	495.3695	-125.264565	398.01157	130.28644	494.3122	-104.011604	-400.2047	25.63248	2309.8124730587006
40	5727.932	90.31026	5812.6074	5577.2783	6062.014	121.02903	6269.702	5886.908	1000.0	1000.0	159999	403.07016	129.77669	499.13977	-85.19896	403.0706	129.77652	499.84995	-82.662834	-404.88562	24.942583	2376.267013311386
41	5687.979	51.84634	5760.65	5617.7124	6399.7476	93.76793	6589.4204	6298.883	1000.0	1000.0	163999	407.63232	129.26253	503.8025	-98.21088	407.63187	129.2622	503.8795	-108.25428	-409.32764	24.373472	2442.844000339508
42	5752.3496	81.93145	5864.2344	5636.011	5893.983	67.506065	5987.3794	5742.4863	1000.0	1000.0	167999	412.22812	128.49077	502.77664	-82.0297	412.22852	128.49141	503.5966	-78.8223	-414.21725	24.71695	2510.7563009262085
43	5827.1807	53.684063	5896.712	5751.903	6306.8765	61.293854	6398.1855	6181.626	1000.0	1000.0	171999	416.0918	128.8129	512.24677	-87.72663	416.0919	128.81169	512.83453	-77.79412	-418.15112	23.599503	2577.727042913437
44	5860.5977	67.398285	5941.9766	5754.8135	6312.551	77.838356	6429.4053	6175.643	1000.0	1000.0	175999	420.4442	128.33104	509.86386	-75.23187	420.4439	128.33113	511.59448	-96.82365	-422.90546	24.33264	2644.986974000931
45	5872.916	81.895996	6007.295	5802.235	6446.71	94.67596	6564.581	6265.5894	1000.0	1000.0	179999	424.62067	127.98918	513.09735	-77.46448	424.621	127.98877	513.3448	-77.16634	-426.65704	23.06423	2712.3650019168854
46	5873.767	92.6348	6019.2725	5773.6636	6090.828	58.44967	6209.419	5987.7886	1000.0	1000.0	183999	427.9287	128.42699	522.3873	-96.316475	427.92853	128.42743	521.68097	-59.746788	-430.10114	23.240223	2779.816981315613
47	6020.5615	81.60575	6125.241	5927.775	6439.5986	37.894493	6485.629	6356.151	1000.0	1000.0	187999	431.7552	128.09598	519.2363	-67.37883	431.75507	128.09636	520.1377	-68.59348	-433.9072	23.554422	2846.4659740924835
48	6022.1797	187.14883	6176.127	5716.324	6438.4575	81.82463	6564.1855	6322.7695	1000.0	1000.0	191999	435.88464	127.760956	529.8906	-94.12549	435.88495	127.76065	530.18353	-88.449646	-437.77032	24.094593	2913.350384235382
49	6162.8057	65.51772	6275.874	6118.1064	6590.8193	67.327484	6754.729	6499.8804	1000.0	1000.0	195999	440.2896	127.81843	531.18115	-82.588	440.28976	127.81774	531.86725	-60.956184	-442.56366	24.03695	2980.7654457092285
50	6307.599	73.586136	6411.4336	6204.6562	6477.7397	113.45658	6662.7173	6278.5938	1000.0	1000.0	199999	444.76324	127.90013	541.60254	-82.720245	444.76367	127.89964	542.93335	-76.86788	-446.70932	24.179996	3048.968934059143
51	6259.4614	113.705055	6409.787	6091.822	5551.4204	1112.3632	6414.681	3013.2715	1000.0	1000.0	203999	449.00128	128.10182	549.8671	-77.86641	449.0012	128.1016	552.40137	-78.45757	-450.93024	24.789793	3115.550557613373
52	6445.677	94.21623	6569.24	6337.231	6094.626	516.8493	6462.161	4596.168	1000.0	1000.0	207999	453.22488	128.71964	558.3502	-59.59938	453.2252	128.71988	556.03796	-49.395565	-455.35025	24.620739	3182.9407925605774
53	5992.9746	57.76491	6078.3643	5935.2065	5354.259	1250.243	6275.4775	2580.7876	1000.0	1000.0	211999	457.91824	128.64128	560.42035	-88.36015	457.91852	128.6407	561.06793	-61.85238	-460.21912	26.928307	3250.8885629177094
54	6196.134	198.98878	6526.489	6027.453	6550.5864	107.36259	6802.0757	6412.951	1000.0	1000.0	215999	462.41348	128.81229	566.39777	-70.04285	462.41367	128.81123	564.58044	-69.372734	-464.97824	27.108704	3315.7971975803375
55	6299.578	145.34839	6482.4204	6087.7817	6913.2007	122.51067	7083.16	6703.1523	1000.0	1000.0	219999	466.76816	128.89638	575.24384	-55.990097	466.76865	128.89578	574.8251	-57.518417	-469.02588	28.556995	3382.8533022403717
56	6648.3574	44.03184	6718.199	6609.2886	6403.132	176.8118	6702.7144	6042.166	1000.0	1000.0	223999	471.45496	128.87418	581.9814	-67.80144	471.45496	128.87378	577.4471	-71.329094	-473.49298	27.743229	3450.7589781284332
57	6601.1377	114.62732	6701.5806	6415.632	6984.2607	133.1845	7158.544	6684.2554	1000.0	1000.0	227999	475.39337	129.9664	586.53076	-89.8892	475.3934	129.96654	586.5389	-71.52873	-477.41608	28.101723	3517.2756979465485
58	6623.398	261.03528	6876.743	6191.7095	6806.6616	292.65784	7073.423	5976.75	1000.0	1000.0	231999	479.91776	130.14671	595.12897	-91.860985	479.91748	130.14601	594.4534	-92.08347	-481.86124	28.461641	3583.0525946617126
59	6721.7197	134.847	6846.3193	6523.1875	6497.546	131.05176	6642.444	6214.613	1000.0	1000.0	235999	484.73495	129.94702	605.25903	-76.18647	484.7351	129.94542	604.0152	-81.01634	-487.15356	29.045113	3649.5390758514404
60	6603.47	202.56616	6948.0537	6431.9966	7239.0244	113.34724	7425.7915	7046.892	1000.0	1000.0	239999	488.94833	130.91736	608.6768	-95.83657	488.94824	130.91681	608.0881	-72.17072	-491.16095	29.663113	3716.523300409317
61	6753.374	207.95425	7050.098	6462.4854	6953.883	53.036213	7066.205	6884.7275	1000.0	1000.0	243999	493.32745	131.65474	615.5467	-76.57212	493.3276	131.65419	614.4025	-81.558716	-495.67	29.874187	3782.8043537139893
62	6954.2007	193.10971	7121.405	6625.349	7209.25	62.72138	7313.6143	7076.557	1000.0	1000.0	247999	498.4313	131.45006	621.0081	-109.20988	498.4312	131.45053	621.46466	-104.77316	-500.3521	29.964993	3849.918915748596
63	6997.914	168.0421	7198.444	6751.6685	7198.5312	92.11581	7352.189	7070.98	1000.0	1000.0	251999	502.8648	131.90038	627.07214	-72.42326	502.86465	131.89949	626.6024	-70.24113	-505.35184	31.170004	3916.964549303055
64	6812.659	256.1218	7241.759	6564.444	7216.918	153.6883	7408.9756	6924.156	1000.0	1000.0	255999	506.8081	133.1308	630.6588	-91.32488	506.8086	133.12973	633.86523	-83.72574	-509.1705	32.360012	3984.3989877700806
65	6791.231	275.10434	7039.5815	6332.7173	7261.6094	130.771	7459.433	6977.7505	1000.0	1000.0	259999	511.5579	132.22786	637.42645	-85.87361	511.55795	132.228	634.29645	-67.70396	-514.00745	32.043045	4051.3815739154816
66	7001.8896	64.77281	7080.0815	6911.228	7258.9976	99.296616	7351.826	7122.8276	1000.0	1000.0	263999	515.88165	132.70451	637.9403	-88.68883	515.88135	132.7042	639.65894	-93.082886	-518.23364	32.22665	4118.525382757187
67	7068.9634	83.92795	7158.196	6985.0293	7355.173	125.98942	7574.885	7147.24	1000.0	1000.0	267999	519.71436	133.43527	644.99695	-84.563065	519.7143	133.43445	649.7245	-75.61048	-522.24585	33.098625	4185.919729709625
68	7160.405	139.19934	7255.193	6920.627	7572.7373	127.565506	7796.8975	7422.0566	1000.0	1000.0	271999	523.623	133.02489	648.5633	-98.62453	523.62354	133.02542	650.9987	-97.766525	-526.12854	32.29894	4253.299564838409
69	7049.56	94.85055	7206.57	6961.0728	7643.425	79.71358	7756.398	7507.932	1000.0	1000.0	275999	526.9832	133.92982	651.95416	-70.44582	526.983	133.92929	653.502	-68.811295	-529.3533	33.31164	4319.778907775879
70	7108.6924	102.862946	7215.236	7003.5527	7428.2876	105.25887	7615.4507	7256.1035	1000.0	1000.0	279999	530.9448	133.04703	659.88696	-101.89879	530.94434	133.04776	659.898	-98.98977	-532.6626	34.475616	4386.207485198975
71	7280.8755	98.18651	7372.6855	7116.2173	6676.264	129.72408	6879.8726	6425.3276	1000.0	1000.0	283999	534.3037	133.012	662.69196	-92.54197	534.3034	133.01189	661.441	-80.36164	-536.5579	33.31994	4453.379759311676
72	7106.545	231.27803	7387.0083	6871.64	7136.3516	143.07689	7363.8613	6903.408	1000.0	1000.0	287999	537.3749	133.64024	664.015	-102.057465	537.37494	133.63918	664.34796	-98.39704	-539.6619	33.082047	4521.127678871155
73	6933.098	145.6368	7082.5566	6702.313	7475.3594	91.00793	7578.7334	7301.2065	1000.0	1000.0	291999	540.8435	133.15157	671.22064	-82.0338	540.8435	133.15164	669.9796	-81.51842	-543.3013	34.634266	4587.491891860962
74	7009.7896	264.3655	7380.3774	6667.763	7672.336	165.37299	8011.5557	7415.12	1000.0	1000.0	295999	543.81134	133.44383	669.79785	-122.85517	543.8116	133.44325	670.9484	-123.74459	-545.68555	33.600704	4655.334082365036
75	7038.243	87.22176	7138.333	6907.4727	7695.0303	127.25924	7993.243	7499.7407	1000.0	1000.0	299999	546.85895	133.19083	673.8762	-73.29665	546.8595	133.1888	676.4198	-102.24267	-548.744	34.42282	4722.132783651352
76	7221.9824	88.15042	7360.827	7122.729	7218.3643	162.59605	7513.722	6995.0337	1000.0	1000.0	303999	549.4184	133.39264	681.5597	-69.978065	549.4181	133.39377	682.16675	-63.69546	-551.9377	35.445507	4789.137008428574
77	7242.585	129.35432	7465.5576	7147.5903	7265.6836	165.9284	7528.598	6919.327	1000.0	1000.0	307999	551.8055	133.47394	683.5462	-99.28121	551.8055	133.4738	683.7212	-114.23154	-554.16724	35.62313	4856.212400197983
78	7186.677	134.37769	7321.3027	6979.9736	7230.75	1091.4988	7799.3247	3977.1023	1000.0	1000.0	311999	554.5266	132.60449	685.874	-109.5435	554.5264	132.60315	685.0733	-66.54232	-556.8423	35.769753	4923.9054226875305
79	7232.376	139.77919	7362.782	7024.5215	7841.5757	96.7518	8021.161	7657.6206	1000.0	1000.0	315999	556.5008	132.78532	688.5762	-89.635925	556.50146	132.78494	689.88947	-93.656784	-558.65204	34.283882	4990.896349430084
80	5713.7197	2575.1204	7454.336	1263.914	7267.4893	241.08241	7752.5786	6924.7993	1000.0	1000.0	319999	557.7158	135.28525	689.5726	-140.29053	557.71533	135.28326	691.55945	-143.36778	-560.3998	39.695408	5057.784001350403
81	7258.8677	106.22677	7438.1777	7165.508	7740.9595	152.96736	8057.466	7522.5356	1000.0	1000.0	323999	559.7338	135.569	693.1095	-149.66298	559.73395	135.5683	691.13947	-96.41283	-562.163	40.11863	5124.675148010254
82	7296.3223	62.235233	7397.09	7242.572	7097.293	115.40546	7280.9614	6868.7324	1000.0	1000.0	327999	561.9261	135.24815	691.0496	-154.99968	561.92566	135.24797	690.8681	-138.63939	-564.19116	40.648434	5191.952562093735
83	7330.4087	200.968	7650.9604	7109.631	7772.026	91.30108	7916.8984	7568.945	1000.0	1000.0	331999	563.8643	134.8911	696.86444	-146.44313	563.8642	134.88942	694.80817	-122.05935	-566.0806	40.968243	5258.886636018753
84	7452.208	202.07443	7677.707	7128.2183	7397.1533	163.42424	7725.692	7133.8364	1000.0	1000.0	335999	565.8579	134.45956	696.5116	-143.98454	565.8573	134.45999	697.3581	-114.73959	-568.24615	39.72182	5326.742982625961
85	7088.9775	271.21222	7355.8335	6732.097	7694.3374	130.99695	7837.9976	7425.114	1000.0	1000.0	339999	567.23425	134.8781	704.0283	-138.0913	567.2341	134.87825	698.45905	-150.24762	-569.4499	40.356346	5394.849433898926
86	7444.511	180.8986	7629.8306	7159.937	8005.747	155.78857	8165.6577	7653.674	1000.0	1000.0	343999	569.1093	134.52791	704.725	-118.63749	569.1096	134.52715	706.1901	-135.54962	-571.6032	40.87068	5461.080729007721
87	7392.9297	144.98111	7612.5146	7220.2095	7542.965	102.98767	7720.9614	7344.5264	1000.0	1000.0	347999	570.5444	135.1547	706.1249	-124.40759	570.54407	135.1534	706.63245	-116.03031	-572.8298	38.733227	5528.53093123436
88	7423.778	114.3973	7535.4907	7232.5938	7764.759	95.61903	7958.8853	7568.795	1000.0	1000.0	351999	572.37665	134.50555	702.2213	-128.52435	572.3765	134.50601	703.76306	-148.90979	-574.4257	38.3984	5595.954547405243
89	7432.828	124.65515	7631.7524	7316.529	7513.112	115.85192	7751.6147	7357.277	1000.0	1000.0	355999	573.83075	134.70737	702.9135	-147.22673	573.8304	134.70784	707.37195	-135.01462	-576.0899	39.61674	5664.011884212494
90	7440.8047	138.74252	7614.5317	7226.7705	7613.0977	191.20198	8002.336	7272.5034	1000.0	1000.0	359999	575.8279	133.93939	706.21246	-132.82973	575.82697	133.93987	707.62573	-128.54564	-578.0636	40.887913	5731.789783716202
