Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	16.93209	12.054163	88.51607	4.2289476	39.22	1.014726	40.645954	37.033993	20.937172	22.3	3999	4.9460354	3.5661256	24.624395	-5.731123	4.9459634	3.5665298	24.921974	-6.253206	-5.966353	0.30590695	31.630186319351196
2	17.50168	13.855692	120.41521	4.1451073	41.725903	1.6268132	43.890022	38.75864	20.937172	23.8	7999	17.115995	7.040432	52.69816	-17.288332	17.116062	7.0346155	51.15456	-19.84262	-19.158247	1.9636109	78.60590982437134
3	27.581514	15.5682745	100.112595	4.4514804	38.921173	0.46827105	40.041367	38.309288	21.516129	22.1	11999	33.850803	12.511194	70.85692	-32.32337	33.851795	12.500979	70.99995	-40.4511	-37.489296	9.677504	125.11487984657288
4	39.153046	0.9777982	41.738003	36.7833	39.306816	0.7880524	40.58914	38.41479	22.346369	22.3	15999	44.44456	16.951454	64.45444	-28.47432	44.44603	16.93731	65.13745	-28.417696	-46.982895	8.523102	173.39037132263184
5	39.151775	0.90861785	41.973686	36.853256	39.07763	0.94430065	40.49478	37.243023	22.329609	22.2	19999	35.485916	17.505768	61.506577	-32.30177	35.487534	17.492712	61.404037	-30.69518	-36.339405	4.149671	222.38732385635376
6	39.088337	0.9574468	41.808247	36.75095	38.67442	1.3851666	40.70489	36.86136	22.290503	22.0	23999	26.626022	12.384174	54.365158	-39.253582	26.627806	12.37294	56.12858	-36.382847	-27.067654	2.5650668	270.30658984184265
7	39.151203	0.9495811	41.645535	36.771008	38.967327	0.97695214	40.510914	37.233456	22.335196	22.2	27999	23.737337	10.51621	53.872753	-36.55061	23.738108	10.511111	54.743664	-45.380672	-24.226103	1.8922415	319.67553424835205
8	39.084347	0.943154	40.901157	36.769527	38.845165	0.5258893	40.20616	38.19735	22.294445	22.1	31999	22.77726	9.960008	43.0409	-34.232414	22.777225	9.957291	44.363552	-33.62358	-23.278902	1.1825571	369.2626693248749
9	39.182377	1.00059	41.719498	36.684975	38.587822	0.97083473	40.295563	36.660267	22.346369	21.9	35999	22.628414	10.049784	39.159378	-21.439167	22.62845	10.048192	39.865982	-22.148586	-23.064034	1.0507622	418.85834860801697
10	39.18487	0.9649999	41.827576	36.703217	38.47275	1.1808466	40.328754	36.76466	22.376404	21.9	39999	22.33962	10.041075	39.04497	-20.563717	22.339582	10.040535	39.255146	-16.532425	-22.703306	0.8958623	467.2719416618347
11	39.08925	0.95122117	41.79121	36.7732	39.059303	0.59973496	40.3686	38.45905	22.277779	22.2	43999	22.210058	10.088641	38.677174	-18.126404	22.209898	10.088639	40.02722	-18.124477	-22.571667	0.7699695	515.9189786911011
12	39.140068	0.8382021	41.807465	36.97082	39.09663	0.9834684	40.445435	37.120506	22.329609	22.2	47999	22.182922	10.132598	39.750427	-16.15284	22.183012	10.131978	42.007385	-17.236471	-22.492218	0.7173929	565.4918103218079
13	39.071945	0.89436674	40.72817	36.82653	38.342537	0.99002403	40.118748	36.89689	22.283333	21.8	51999	22.074858	10.173083	39.289097	-19.084799	22.0749	10.172848	40.41756	-16.661493	-22.365288	0.6911789	614.3908512592316
14	39.110928	0.95073646	41.848446	36.78989	39.080402	0.6734825	40.593002	38.36589	22.301676	22.2	55999	21.921015	10.183777	40.535385	-22.532179	21.92101	10.183535	40.265007	-20.80798	-22.185673	0.6055461	664.9625594615936
15	39.15591	0.92466223	41.776546	36.80555	38.449043	0.9164273	40.71847	37.15535	22.346369	21.9	59999	21.84781	10.185635	42.320145	-17.901466	21.847723	10.185346	42.419796	-19.766035	-22.106411	0.5932661	716.0524938106537
16	39.261044	0.8663329	41.74421	36.878704	38.70469	1.111503	40.594948	36.91384	22.410112	22.0	63999	21.73562	10.145589	40.77914	-22.032187	21.735752	10.145413	40.430584	-21.554943	-21.976095	0.5522175	768.9173378944397
17	39.13931	0.9452997	41.72283	36.667282	38.65873	0.720563	40.048813	36.928986	22.340782	22.0	67999	21.722513	10.21446	40.617744	-20.300026	21.722546	10.21406	41.756233	-23.434204	-21.962923	0.5005083	823.0216202735901
18	39.245594	0.9586052	41.539818	36.812935	39.07381	0.86869127	40.710823	38.23435	22.396648	22.3	71999	21.761515	10.224578	39.58054	-18.655054	21.761507	10.22475	40.231873	-19.414452	-21.968925	0.47152656	880.6483874320984
