Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	1.614999	4.54722	8.089992	-4.762047	36.307037	1.0136278	37.822235	34.608692	1000.0	1000.0	3999	1.9094535	2.180765	14.924018	-3.2842965	1.9095931	2.1809633	14.8961935	-3.4696863	-2.837771	0.07307833	64.95155715942383
2	-3.0468218	5.3655276	2.4332879	-9.146765	45.063942	1.5917071	47.948887	42.608513	1000.0	1000.0	7999	12.442065	5.438093	33.698086	-1.2805414	12.442324	5.438012	33.907833	-1.1410887	-14.283699	0.25553766	151.2609679698944
3	7.8682375	12.839649	25.504278	-10.343638	17.682255	1.1637721	20.123753	15.975237	1000.0	1000.0	11999	28.7299	9.893643	100.91295	8.917252	28.73001	9.893262	100.92462	8.714519	-30.808533	0.47680476	237.68706941604614
4	23.165413	7.7946815	35.23112	13.903032	35.626915	1.0671347	37.616043	34.39065	1000.0	1000.0	15999	44.123764	9.777868	98.75643	13.751688	44.123905	9.776929	98.25242	13.987303	-45.449936	0.42813525	326.23037815093994
5	21.15199	18.252022	42.595295	-1.5758786	-2.9391801	1.8055872	-0.4122729	-5.5074825	1000.0	1000.0	19999	48.143517	8.239426	95.77749	13.944773	48.14355	8.239255	95.8582	13.666587	-49.156216	0.37192777	413.6830642223358
6	21.559113	19.20086	40.833656	-1.8567358	5.8051696	0.53947735	6.7002635	5.1136985	1000.0	1000.0	23999	49.86441	6.803833	87.43728	16.9498	49.864376	6.804196	86.63602	16.74562	-50.50451	0.23938252	501.2610754966736
7	29.91922	12.155417	42.609276	10.271607	21.83776	0.86307	23.235443	20.643015	1000.0	1000.0	27999	49.433945	6.2067337	82.442055	22.905596	49.43387	6.206888	81.97049	23.164673	-50.01861	0.18158838	587.8154091835022
8	26.020737	3.9189112	32.52804	22.04286	26.423656	1.2754999	28.882534	24.62036	1000.0	1000.0	31999	48.06589	6.59609	70.00957	19.904884	48.065815	6.595764	69.88941	19.790668	-48.50815	0.13145939	675.52818608284
9	33.962124	10.196553	44.087406	17.945353	46.45532	1.4555043	48.71784	44.195866	1000.0	1000.0	35999	45.416065	7.152945	65.95638	18.389372	45.41608	7.1526704	65.783646	18.054955	-45.74417	0.10271829	760.1255469322205
10	37.973923	1.3686986	39.491703	36.362457	34.4641	0.98850745	36.33643	32.524246	1000.0	1000.0	39999	41.82049	7.58763	63.897144	20.345999	41.82051	7.5874496	64.018005	20.047396	-42.084515	0.08704995	846.7155921459198
11	36.983536	1.6803205	38.973373	34.532673	37.701588	2.5886881	43.85401	35.611008	1000.0	1000.0	43999	38.5434	7.843769	63.863045	18.885565	38.54343	7.8435726	63.61111	18.96926	-38.791	0.074618064	931.3656787872314
12	36.321693	2.209781	40.136456	34.75649	30.375011	1.6743017	33.58998	28.374022	1000.0	1000.0	47999	35.72942	8.127449	64.83726	19.365328	35.729454	8.127014	64.38008	19.093655	-35.9679	0.067621924	1015.696905374527
13	36.18354	5.3831167	44.670334	29.768959	31.453772	1.0601208	33.27374	29.771877	1000.0	1000.0	51999	33.19242	8.327917	63.02136	19.108545	33.19248	8.327608	62.795612	18.740114	-33.3949	0.062146645	1101.187840461731
14	25.919697	4.804385	33.73556	20.78159	33.93436	0.90323657	35.453823	32.600388	1000.0	1000.0	55999	30.890608	8.387401	61.330853	19.596605	30.89061	8.387252	61.05183	19.316628	-31.083359	0.052581023	1185.284768819809
15	34.641228	6.1815886	43.53915	26.121845	49.62231	1.3029184	52.57901	47.82802	1000.0	1000.0	59999	28.465277	8.497426	57.758022	17.992884	28.465288	8.49738	57.644882	17.74539	-28.600143	0.044690065	1271.0082726478577
16	40.062523	1.6432219	42.05296	37.5879	37.7905	7.149913	46.15438	17.464363	1000.0	1000.0	63999	26.233023	8.61879	56.16176	16.6887	26.233002	8.6188345	55.361454	16.589575	-26.382698	0.04250949	1358.094182729721
