Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	2.4970074	5.534075	19.88704	-8.916723	329.48404	83.05464	387.54013	85.91075	21.688524	228.9	3999	3.730307	3.7825823	19.369696	-3.0489953	3.7305188	3.7828522	18.657932	-3.2857533	-5.8771133	0.43667254	59.22785305976868
2	1.9508754	6.919326	46.040424	-12.580995	137.97426	109.357216	454.38364	63.038845	20.459183	229.0	7999	22.428505	11.316042	63.823925	-23.990005	22.429214	11.314189	63.84388	-27.600471	-28.08323	4.4226127	137.35547184944153
3	15.636859	94.3966	928.1661	-7.763832	104.854935	63.67884	175.014	-19.429533	34.17757	121.2	11999	57.53	19.626127	126.510735	-25.774067	57.53157	19.620049	127.70201	-35.2351	-66.63664	19.799961	216.32732152938843
4	20.418045	159.67842	897.50726	-58.647255	31.863964	74.8351	216.8998	-84.02508	108.74359	143.4	15999	76.34397	19.35123	140.70773	-33.607132	76.34365	19.350304	139.83858	-33.113045	-82.655014	34.02428	295.9082860946655
5	159.40369	156.05682	478.70667	-152.92404	58.1273	79.52241	219.00156	-58.453297	174.39131	218.0	19999	78.09878	20.795862	136.9711	-43.181538	78.0982	20.796398	132.9881	-47.4318	-83.13364	35.32104	376.1246349811554
6	135.15474	101.70284	321.1467	-39.09043	149.63199	104.962204	364.23868	-26.132616	184.38095	177.5	23999	78.08366	21.09723	126.25853	-48.567165	78.080894	21.09921	126.26593	-46.266537	-82.7681	35.033585	455.31075739860535
7	106.50604	149.72083	396.3882	-93.465996	202.84631	109.03383	350.31668	1.0259427	209.7	239.7	27999	77.79706	21.195913	124.0936	-54.27411	77.79723	21.2031	123.820724	-48.069344	-81.985275	35.481686	536.8090889453888
8	147.49612	129.17381	406.48203	-89.154884	183.17343	74.231094	271.3185	13.185173	182.86363	174.4	31999	75.64406	21.910553	123.41298	-57.32348	75.64369	21.916864	123.713165	-55.484074	-79.29139	33.228954	615.6421134471893
9	191.70033	76.970634	311.47314	-17.66865	199.55539	55.279453	319.38474	126.2058	163.5	125.0	35999	74.25482	22.831142	122.5009	-55.671875	74.25516	22.835176	123.327644	-63.33014	-77.83847	35.730515	695.0601327419281
10	155.52014	64.85392	340.13498	53.421974	185.8038	96.14741	331.33447	21.450188	167.58333	164.2	39999	73.90768	23.307816	125.07863	-50.361267	73.907265	23.31605	122.685356	-52.244606	-77.437485	35.77407	774.2859156131744
