Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-500.0	0.0	-500.0	-500.0	500.0	0.09477313	0.124356255	0.39196587	-0.27854165	4000	4.224777e-07	7067.056	-0.0072772433	-1327.9634	1.0920306	0.011220313	0.0975	79.0	4.370022535324097
1	-471.0	59.82683	-319.0	-500.0	471.25	-8.307007	1.056426	0.1457093	-8.962061	8000	1.0418892e-07	5503.463	-0.008827321	-884.36426	1.0853921	0.01022953	0.097	79.0	8.500997543334961
2	-464.125	41.94174	-385.0	-500.0	464.625	-15.094558	0.6471029	-6.6425323	-15.318154	12000	-4.2063e-07	4587.6167	-0.0074552386	-651.1377	1.0759914	0.015515567	0.229	10.0	12.087221384048462
3	-416.66666	69.475815	-296.0	-500.0	417.44446	-20.473688	0.84115744	-7.056185	-20.721752	16000	1.2111664e-07	3722.577	-0.009872017	-514.3777	1.0364237	0.0074547245	0.09025	79.0	16.359967708587646
4	-274.2857	68.51843	-171.0	-392.0	275.2857	-25.276564	1.1058078	-13.75514	-25.558142	20000	-4.7683717e-08	2341.725	-0.011820881	-299.89795	1.0329106	0.008791669	0.145	79.0	20.454050064086914
5	-257.06668	60.683292	-186.0	-380.0	258.06668	-29.11734	1.2110946	0.2384991	-29.382742	24000	-9.536743e-08	1894.8837	-0.014163016	-232.95654	1.0066102	0.008706652	0.104	79.0	24.50671148300171
6	-198.78947	53.686794	-112.0	-339.0	199.78947	-31.70097	4.5943165	25.93709	-32.838135	28000	-6.878376e-08	1278.3557	-0.015964989	-147.66125	0.95170164	0.013177418	0.18475	79.0	28.700265645980835
7	-192.0	65.470604	-143.0	-454.0	193.0	-34.54235	3.9174569	15.328785	-35.616737	32000	-8.106232e-09	1070.8147	-0.0064731883	-111.71069	0.9021878	0.015784949	0.153	12.0	32.23839211463928
8	-161.29167	45.037464	-110.0	-305.0	162.29167	-36.34468	6.014262	17.782478	-38.124077	36000	8.434057e-09	732.629	-0.007143351	-66.22662	0.8075726	0.011824198	0.07775	79.0	36.35196542739868
9	-170.73914	39.804104	-108.0	-274.0	171.73914	-38.567577	4.632137	8.319524	-40.023396	40000	1.6212464e-08	706.1601	-0.010833729	-101.08832	0.81040245	0.0052039395	0.11575	79.0	40.55764317512512
10	-149.53847	30.097572	-101.0	-211.0	150.53847	-35.857674	9.821072	19.229382	-41.9994	44000	-1.2755394e-08	476.32718	-0.0075287027	-65.11304	0.7307301	0.005282195	0.09775	79.0	44.860567808151245
11	-144.07408	33.79341	-103.0	-272.0	145.07408	-37.8422	9.455352	6.13143	-43.772728	48000	1.4781952e-08	382.2578	-0.0036486536	-47.34015	0.7354692	0.01517752	0.226	13.0	48.490196228027344
12	-123.5	23.274181	-85.0	-205.0	124.5	-36.03883	12.314104	3.9112477	-45.42541	52000	-6.6280364e-08	213.70468	-0.00810049	-27.786118	0.6916195	0.011201718	0.072	79.0	52.67129111289978
13	-149.07692	31.377262	-97.0	-219.0	150.07692	-37.96943	12.515263	0.28105396	-46.61887	56000	4.7922136e-08	389.51663	-0.0054345657	-52.691895	0.7179643	0.016024418	0.211	14.0	56.24052119255066
14	-113.52941	25.924364	-82.0	-191.0	114.52941	-37.441566	13.405084	3.3544831	-48.178436	60000	4.2915342e-09	198.74287	-0.006619736	-22.575363	0.6029702	0.008424468	0.116	79.0	60.31078863143921
15	-118.242424	46.943573	-77.0	-345.0	119.242424	-35.524933	13.903641	4.719667	-49.02029	64000	1.45435335e-08	373.08493	-0.0061064	-64.07501	0.5637563	0.0058390475	0.03975	79.0	64.37293887138367
16	-115.0	34.419556	-76.0	-245.0	116.0	-38.076523	12.913924	28.412045	-49.868088	68000	-1.692772e-08	296.68198	-0.0060396474	-38.216217	0.520337	0.0049789445	0.05725	79.0	68.52072596549988
17	-122.875	62.68261	-78.0	-422.0	123.875	-38.316547	12.148622	-2.466808	-50.54188	72000	-1.45435335e-08	496.298	-0.006613656	-115.88663	0.49911162	0.008790291	0.1	79.0	72.78939819335938
18	-98.975	15.584427	-75.0	-133.0	99.975	-39.932438	12.989149	4.764168	-51.504143	76000	-9.536744e-10	108.136314	-0.005723155	-42.730026	0.48007986	0.0024989115	0.058	79.0	76.98267817497253
19	-92.40476	13.0713415	-73.0	-128.0	93.40476	-35.578365	14.818962	1.8924255	-51.78595	80000	-8.627772e-09	67.67506	-0.006272306	-7.562649	0.4272597	0.0024812482	0.06525	79.0	81.08260655403137
20	-94.97561	19.482935	-70.0	-168.0	95.97561	-33.184376	15.2478	1.7135541	-51.90377	84000	-1.4424324e-08	125.01889	-0.0055783615	-12.752228	0.382708	0.0021502732	0.063	79.0	85.30313801765442
21	-93.04762	13.631113	-70.0	-136.0	94.04762	-35.06203	14.3005	2.2347455	-52.196583	88000	1.26361845e-08	69.4852	-0.0045676213	-5.5348473	0.34155384	0.003468583	0.02975	79.0	89.4731240272522
22	-91.325584	22.48485	-67.0	-207.0	92.325584	-34.766266	15.082492	1.9664205	-52.423058	92000	-1.692772e-08	126.11936	-0.0059500337	-17.009613	0.32641333	0.004463756	0.05275	79.0	93.56442952156067
23	-92.28571	27.219814	-62.0	-189.0	93.28571	-32.44221	15.520891	19.159798	-52.602104	96000	1.1742115e-08	226.25113	-0.0036031946	-33.384964	0.25932094	0.0050491327	0.0305	79.0	97.64018273353577
24	-90.51163	42.063835	-63.0	-263.0	91.51163	-36.09996	12.627976	1.8023236	-52.8221	100000	1.6689301e-09	333.0799	-0.008854193	-47.71811	0.27723485	0.0077196285	0.045	79.0	101.74548149108887
25	-88.045456	14.630221	-62.0	-135.0	89.045456	-34.858433	13.994169	9.828612	-53.028526	104000	-1.3351441e-08	98.65449	-0.004168375	-30.03614	0.26503372	0.0021323434	0.02275	79.0	105.8377845287323
26	-83.63043	15.194904	-62.0	-130.0	84.63043	-33.99136	14.380725	5.2244415	-53.103497	108000	4.2915342e-09	93.64389	-0.004928488	-3.3527298	0.23063976	0.0050409855	0.03925	79.0	110.0442886352539
27	-86.53333	16.791002	-61.0	-149.0	87.53333	-32.788776	14.639008	4.292973	-53.084663	112000	-4.2915342e-09	91.13444	-0.0027894168	-8.323471	0.23109774	0.0013209711	0.0255	79.0	114.1184287071228
28	-92.7381	40.55746	-61.0	-313.0	93.7381	-32.4288	14.702482	4.8736653	-53.19833	116000	-8.5830685e-09	334.21283	-0.0076942304	-101.47833	0.24995753	0.005996735	0.05275	79.0	118.30208563804626
29	-82.125	13.642191	-61.0	-130.0	83.125	-35.61761	14.214291	18.485037	-53.560814	120000	1.8119811e-08	86.18147	-0.0050646686	-21.300743	0.20843211	0.0155258225	0.05325	28.0	122.11524605751038
30	-95.46342	35.03803	-62.0	-233.0	96.46342	-31.670723	15.163119	5.099613	-53.349773	124000	-2.169609e-08	291.31082	-0.0068512126	-63.599976	0.23793398	0.013981158	0.065	79.0	126.33473896980286
31	-85.95652	17.207123	-63.0	-153.0	86.95652	-35.121323	15.32066	19.110678	-53.820045	128000	8.5532665e-09	122.53876	-0.004072077	-29.533272	0.25377947	0.0028311254	0.0265	79.0	130.50096559524536
32	-89.59091	32.472588	-61.0	-263.0	90.59091	-33.416485	14.554103	5.68229	-53.812187	132000	-1.2874604e-08	228.50731	-0.005317245	-31.438538	0.24229656	0.0049659405	0.0445	79.0	134.7330927848816
33	-80.770836	14.834138	-60.0	-144.0	81.770836	-35.6395	13.556309	4.03562	-53.99062	136000	-1.0967255e-08	86.43883	-0.0033107023	-16.216057	0.19829783	0.0016374221	0.01875	79.0	138.8790888786316
34	-82.893616	19.723875	-63.0	-178.0	83.893616	-32.04079	14.716519	5.2408686	-53.775414	140000	-6.6757204e-09	110.179344	-0.002706199	-8.87767	0.1729323	0.0018748038	0.02725	79.0	142.99721765518188
35	-75.69231	9.3880825	-62.0	-100.0	76.69231	-33.88378	14.194686	7.9817796	-53.781506	144000	1.1920929e-09	54.49843	-0.002771951	-17.166458	0.16880955	0.003788136	0.02725	79.0	147.09309005737305
36	-81.645836	11.797757	-64.0	-119.0	82.645836	-29.223581	15.02915	10.149725	-52.69164	148000	8.702278e-09	65.85863	-0.005736777	-11.871704	0.16846454	0.0038367982	0.0385	79.0	151.163738489151
37	-85.04348	21.833319	-62.0	-168.0	86.04348	-32.385193	14.396193	4.610303	-53.681965	152000	-3.0994416e-09	119.13024	-0.004364476	-7.0758286	0.14623386	0.0034975612	0.022	79.0	155.8902144432068
38	-88.545456	30.11754	-62.0	-239.0	89.545456	-31.53502	15.393096	8.223164	-53.99732	156000	4.529953e-09	253.10687	-0.0020142358	-55.554123	0.12282806	-0.0007294659	0.009	79.0	159.97712898254395
39	-98.6	75.86099	-63.0	-500.0	99.575	-35.132587	12.688419	5.560315	-54.270653	160000	-1.5079975e-08	641.111	-0.005120801	-188.31381	0.124069944	0.002829279	0.02275	79.0	164.1026291847229
40	-84.91304	23.206846	-63.0	-197.0	85.91304	-36.73393	13.950794	16.217003	-55.316353	164000	-1.1920929e-09	158.63342	-0.004866214	-25.410248	0.12057749	0.0043671927	0.02925	79.0	168.1855504512787
41	-83.3617	21.616014	-62.0	-200.0	84.3617	-33.22826	15.145145	16.034065	-55.391354	168000	2.026558e-08	172.10413	-0.002660919	-50.08213	0.11773889	0.0031235677	0.02225	79.0	172.24755430221558
42	-93.97619	67.06056	-61.0	-500.0	94.95238	-34.009842	13.881308	9.462479	-54.898014	172000	-1.001358e-08	397.63617	-0.008080965	-89.17935	0.10141129	0.010974776	0.0475	79.0	176.4268114566803
43	-78.3	10.458012	-61.0	-103.0	79.3	-36.10316	14.434976	9.070232	-56.522823	176000	2.8133393e-08	75.89596	-0.0042217956	-32.743786	0.122953065	0.00063109095	0.014	79.0	180.49653577804565
44	-92.90476	63.62046	-64.0	-487.0	93.90476	-29.794382	14.185561	22.726204	-53.837193	180000	-3.194809e-08	499.25262	-0.010987741	-233.70767	0.15582006	0.015322857	0.048	59.0	184.47889065742493
45	-80.55102	10.337295	-63.0	-120.0	81.55102	-35.321133	14.966238	24.334276	-56.693703	184000	7.629395e-09	78.77156	-0.008142475	-32.69117	0.13155065	0.002578739	0.03625	79.0	188.55270385742188
46	-80.57143	12.595756	-61.0	-133.0	81.57143	-31.913622	15.017809	13.19062	-54.9014	188000	-7.390976e-09	66.09754	-0.005041998	-4.421253	0.12794977	0.0006457341	0.021	79.0	192.79702591896057
47	-78.36	10.676628	-60.0	-126.0	79.36	-32.500282	14.837315	13.335462	-54.90421	192000	-1.1920929e-08	46.26554	-0.003910141	-3.9261398	0.12566069	0.0022028072	0.0235	79.0	197.49575114250183
48	-89.09091	47.973392	-60.0	-389.0	90.09091	-30.632921	14.611131	6.5779114	-54.14117	196000	-1.9550324e-08	308.69305	-0.005991432	-106.04167	0.16025308	0.0043037166	0.02775	79.0	201.60092163085938
49	-81.75	16.857862	-60.0	-160.0	82.75	-34.173447	14.609394	12.690084	-55.619247	200000	-3.5762787e-10	101.86739	-0.008082608	-16.860062	0.12807553	0.009441718	0.02875	79.0	205.79843258857727
50	-78.408165	11.144539	-61.0	-109.0	79.408165	-33.05546	14.659189	9.714203	-55.023605	204000	2.9802322e-10	64.75371	-0.0045432285	-6.6180954	0.13713978	0.0021861952	0.02825	79.0	209.9823169708252
51	-88.318184	63.669167	-60.0	-500.0	89.295456	-32.95245	14.491288	16.446524	-53.962803	208000	1.4662743e-08	309.83182	-0.010429784	-75.751434	0.15819445	0.0072952053	0.0335	79.0	214.2267029285431
52	-93.09524	38.11562	-61.0	-218.0	94.09524	-32.721275	15.169739	19.435965	-56.97449	212000	-8.34465e-09	336.49887	-0.0067196526	-79.464325	0.1609444	0.0025983509	0.023	79.0	218.39899706840515
53	-78.9	15.970285	-62.0	-167.0	79.9	-37.577885	14.029537	13.409153	-57.79187	216000	2.7060509e-08	123.025024	-0.006297231	-44.692245	0.13945153	0.0035670486	0.0345	79.0	222.5871822834015
54	-82.893616	25.213331	-62.0	-221.0	83.893616	-31.489305	14.515665	26.68079	-54.36826	220000	-1.7523766e-08	143.15561	-0.005463388	-17.84999	0.14812751	0.0027364325	0.0205	79.0	226.73331093788147
55	-83.86957	21.67207	-59.0	-186.0	84.86957	-32.23679	14.988597	15.591493	-55.756638	224000	3.0994416e-09	130.03857	-0.0057440093	-9.316467	0.14770631	0.0024229349	0.026	79.0	230.7924165725708
56	-80.12245	16.357775	-62.0	-154.0	81.12245	-34.258167	14.21897	23.146448	-56.13382	228000	-1.26361845e-08	94.237625	-0.003931212	-14.102272	0.13347684	0.0022121356	0.0175	79.0	234.91100978851318
57	-80.32653	10.120473	-63.0	-108.0	81.32653	-31.559795	14.685151	5.1689844	-54.606388	232000	-1.6033649e-08	40.725418	-0.004140098	-3.8839684	0.12797013	0.0015699666	0.0205	79.0	239.05348014831543
58	-76.588234	11.54051	-59.0	-107.0	77.588234	-32.875446	14.716318	9.821959	-55.200665	236000	-5.4687264e-09	54.35437	-0.004058909	-6.47768	0.11674469	0.0014120464	0.01775	79.0	243.23681044578552
59	-76.39216	11.135667	-62.0	-132.0	77.39216	-30.53319	14.756923	1.3641737	-53.141605	240000	7.987023e-09	44.91116	-0.004206219	-1.7871246	0.108596556	0.0018657263	0.0255	79.0	247.35252237319946
60	-75.03846	11.231757	-61.0	-117.0	76.03846	-30.946102	14.551083	7.331546	-53.28192	244000	-1.6450882e-08	48.905926	-0.0034599337	-2.9085045	0.11102704	0.0021548439	0.0205	79.0	251.58123874664307
61	-82.297874	14.427979	-62.0	-123.0	83.297874	-28.765465	14.886382	10.180777	-52.336308	248000	-8.46386e-09	94.494194	-0.0039144936	-20.480446	0.12681526	0.0016813623	0.02075	79.0	255.73460006713867
62	-85.26087	42.539207	-60.0	-360.0	86.26087	-32.61817	14.568561	9.98508	-56.24953	252000	-1.4305115e-09	304.0595	-0.007117862	-121.95714	0.1331456	0.0030256128	0.033	79.0	259.8357026576996
63	-86.755554	29.159449	-60.0	-220.0	87.755554	-31.434374	15.332573	47.580345	-55.77185	256000	8.225441e-09	251.25009	-0.010107311	-96.37749	0.1129635	0.005185415	0.04	79.0	264.1048312187195
64	-84.608696	30.72421	-61.0	-272.0	85.608696	-34.78268	14.4952545	14.145813	-56.48988	260000	6.198883e-09	157.37852	-0.0047167838	-22.155563	0.11701828	0.002467562	0.0195	79.0	268.25044560432434
65	-82.42553	25.504898	-61.0	-222.0	83.42553	-33.98067	14.718394	9.89479	-57.50673	264000	-1.5497207e-08	130.99292	-0.004878516	-6.641327	0.10548477	0.0020839798	0.022	79.0	272.4499137401581
66	-81.229164	22.76807	-61.0	-191.0	82.229164	-32.34353	14.977767	16.872461	-55.153133	268000	7.867813e-09	154.89903	-0.0038163604	-17.088562	0.09884809	0.001219414	0.019	79.0	276.53924798965454
67	-81.0625	20.262245	-62.0	-193.0	82.0625	-32.895638	13.55428	4.101248	-55.04903	272000	1.1384487e-08	121.78795	-0.0039970074	-18.422394	0.102625914	0.00228131	0.02225	79.0	280.7085244655609
68	-76.5098	11.65412	-62.0	-130.0	77.5098	-32.857758	14.5366955	2.1066747	-55.004074	276000	-5.4836273e-09	57.116817	-0.003631675	-7.87307	0.10171193	0.0021762406	0.022	79.0	284.8504407405853
69	-79.28571	12.3767395	-59.0	-130.0	80.28571	-30.105742	14.514005	7.589052	-52.985413	280000	-9.536743e-09	56.226078	-0.003125956	-4.460163	0.09225476	0.002328835	0.01825	79.0	289.0755445957184
70	-81.0625	14.896037	-60.0	-147.0	82.0625	-31.318468	14.901939	6.5338693	-54.462856	284000	6.9141386e-09	77.55184	-0.0040059686	-6.133835	0.09530631	0.0031490137	0.022	79.0	293.17456459999084
71	-79.734695	18.301083	-62.0	-188.0	80.734695	-32.394733	14.786164	2.8694487	-55.301712	288000	8.3446505e-10	81.93977	-0.0072069997	-12.917236	0.09051416	0.005365906	0.02275	79.0	297.3713207244873
72	-85.04348	23.966423	-63.0	-201.0	86.04348	-31.740976	15.049447	4.3290668	-54.63682	292000	1.1205673e-08	137.17558	-0.005944911	-13.230103	0.11064973	0.0027270825	0.02525	79.0	301.57580757141113
73	-85.434784	31.581951	-61.0	-219.0	86.434784	-33.20548	14.73287	8.466342	-56.081573	296000	1.1444092e-08	246.90997	-0.0046719587	-53.75917	0.09556799	0.0017007041	0.01425	79.0	305.86714243888855
74	-78.18	15.035545	-61.0	-145.0	79.18	-34.908573	13.501937	26.556734	-55.788532	300000	1.26361845e-08	90.24116	-0.003904325	-22.114105	0.08409871	0.0024491567	0.02075	79.0	310.03768134117126
75	-77.039215	12.0260515	-61.0	-134.0	78.039215	-31.785397	14.383636	12.282998	-54.021416	304000	-2.384186e-10	49.882626	-0.004274531	-3.8762398	0.08233248	0.0033004074	0.02125	79.0	314.1336290836334
76	-75.25	8.67329	-60.0	-99.0	76.25	-31.267187	14.728512	6.7309585	-53.708977	308000	1.0669232e-08	33.579033	-0.0040140366	-2.8258286	0.079600185	0.003903299	0.023	79.0	318.2152910232544
77	-76.84314	13.383298	-61.0	-129.0	77.84314	-29.90151	14.751092	5.9379053	-52.77345	312000	-1.4305114e-08	63.823227	-0.0027819616	-4.083809	0.08005309	0.0014741345	0.0145	79.0	322.4114372730255
78	-79.408165	18.370249	-61.0	-148.0	80.408165	-30.535372	14.402652	1.898211	-53.491436	316000	4.053116e-09	108.53341	-0.0032896714	-8.182785	0.08314281	0.0026789107	0.019	79.0	326.46146965026855
79	-78.62	15.856721	-60.0	-158.0	79.62	-32.094555	14.136467	2.9874232	-54.236404	320000	7.033348e-09	80.482605	-0.0044059497	-5.6765137	0.0766598	0.0027795397	0.01725	79.0	330.5376362800598
80	-79.65306	22.313675	-61.0	-183.0	80.65306	-31.29699	14.64003	8.0624695	-53.723114	324000	7.152557e-09	139.47995	-0.0070252162	-16.633347	0.07899292	0.0045090383	0.0245	79.0	334.652813911438
81	-79.5102	12.563508	-62.0	-115.0	80.5102	-32.06712	13.897565	4.7709637	-54.053917	328000	-2.1457671e-09	64.75033	-0.00461435	-10.3025055	0.086410895	0.00012284466	0.0165	79.0	338.6852214336395
82	-77.84	14.208955	-61.0	-132.0	78.84	-31.758469	14.851474	2.1385932	-55.062	332000	-2.861023e-09	69.19875	-0.0044536856	-5.091614	0.08101398	0.003119551	0.0205	79.0	342.7612419128418
83	-75.34615	23.600754	-61.0	-231.0	76.34615	-32.434574	13.841722	1.6800494	-54.483143	336000	-1.1742115e-08	127.15185	-0.004966439	-30.427635	0.08125945	0.0031354756	0.01725	79.0	346.91562962532043
84	-77.37255	15.761657	-61.0	-144.0	78.37255	-29.220114	14.735852	8.27834	-51.992085	340000	9.536744e-10	92.963234	-0.0039566257	-13.2391205	0.07450143	0.0018870537	0.01175	79.0	351.0680687427521
85	-75.5	9.660586	-61.0	-112.0	76.5	-31.69421	13.933935	2.5318983	-53.555817	344000	-1.4781952e-08	39.905582	-0.0028385937	-5.9656677	0.0652937	0.0038988728	0.0235	79.0	355.16767930984497
86	-85.13043	30.05112	-61.0	-209.0	86.13043	-29.145914	14.602918	4.437789	-53.082123	348000	4.4107438e-08	227.08623	-0.0054749977	-54.664795	0.07909016	0.0039512846	0.027	79.0	359.30449509620667
87	-74.98077	15.974126	-61.0	-165.0	75.98077	-34.505123	14.467499	7.0503316	-55.97415	352000	2.0384789e-08	115.44159	-0.003308847	-41.663406	0.056531835	0.001622555	0.0155	79.0	363.4722566604614
88	-80.244896	21.803885	-61.0	-204.0	81.244896	-30.198343	13.915407	5.167276	-52.819866	356000	9.536743e-09	119.746346	-0.0019824184	-11.728981	0.054587107	0.00022105909	0.014	79.0	367.6366686820984
89	-78.36	19.04391	-61.0	-161.0	79.36	-31.64689	14.944897	15.859312	-54.986244	360000	-6.0796737e-09	117.78691	-0.003548011	-19.767616	0.06113752	0.0035716672	0.017	79.0	371.7935378551483
90	-73.9434	10.956888	-61.0	-112.0	74.9434	-32.615265	13.667588	5.9783535	-54.10191	364000	1.2874604e-08	57.375618	-0.0035089306	-11.882664	0.060109794	0.00071767904	0.01725	79.0	376.5166826248169
91	-74.18868	8.451988	-61.0	-97.0	75.18868	-29.463352	14.546147	14.434366	-52.227985	368000	5.4836273e-09	30.945581	-0.0027797283	-2.0675068	0.05071244	0.001302748	0.01075	79.0	380.7316472530365
92	-76.23529	15.473682	-61.0	-129.0	77.23529	-29.736687	14.651616	8.800261	-52.245926	372000	-1.9669534e-08	79.05581	-0.0034911076	-7.6335297	0.05292072	0.00084785605	0.01475	79.0	384.81385350227356
93	-79.38776	18.433352	-61.0	-169.0	80.38776	-30.380129	14.177851	3.9176316	-52.665836	376000	2.026558e-08	100.35342	-0.0041512083	-9.431435	0.06040395	0.0025809016	0.01775	79.0	388.8886399269104
94	-77.39216	21.056486	-61.0	-204.0	78.39216	-31.496273	14.571527	10.342167	-53.877815	380000	8.34465e-09	134.0028	-0.0062877373	-36.304718	0.056519672	0.008601116	0.02175	79.0	393.02291917800903
95	-75.78846	16.308723	-61.0	-172.0	76.78846	-31.665962	14.611411	10.988556	-56.51909	384000	8.3446505e-10	77.180954	-0.00575253	-8.8010025	0.062814765	0.0012874501	0.018	79.0	397.1685721874237
96	-77.196075	14.345894	-61.0	-129.0	78.196075	-29.851051	14.708715	12.092151	-53.060318	388000	7.510185e-09	70.748634	-0.0039383722	-6.81044	0.05776783	0.0034243197	0.01875	79.0	401.322562456131
97	-74.01887	9.341508	-61.0	-98.0	75.01887	-31.597063	14.401634	3.036363	-53.680897	392000	-1.1920929e-09	38.507477	-0.0036028721	-5.478241	0.05727872	0.0012805851	0.0145	79.0	405.37566232681274
98	-78.64	30.210436	-61.0	-268.0	79.64	-29.651491	14.377915	5.3598375	-52.338657	396000	6.9141386e-09	184.12971	-0.0052219983	-44.83963	0.05768637	0.0034286247	0.01675	79.0	409.4224200248718
99	-90.60465	74.02958	-61.0	-500.0	91.5814	-31.026031	13.960022	6.636717	-53.108074	400000	-3.0994416e-09	649.7783	-0.003978323	-291.1978	0.07402055	0.0027818142	0.018	79.0	413.4715030193329
100	-83.893616	36.01491	-62.0	-283.0	84.893616	-32.509037	15.665094	22.064999	-65.65609	404000	-2.861023e-09	261.59622	-0.0047768536	-43.81053	0.056252047	0.0021858637	0.02175	79.0	417.52229499816895
101	-73.35849	13.296465	-60.0	-123.0	74.35849	-35.48439	12.947647	10.511607	-65.0099	408000	-3.0994416e-09	118.80277	-0.0072506834	-53.672592	0.051211752	0.016234405	0.03925	69.0	421.49871611595154
102	-80.04082	19.666567	-61.0	-175.0	81.04082	-29.917572	13.8021	3.3644714	-61.80057	412000	4.768372e-10	116.51345	-0.0059143635	-20.921463	0.10210707	0.0042185406	0.02975	79.0	425.64527797698975
103	-74.78846	10.3149185	-62.0	-113.0	75.78846	-32.452766	14.491412	10.413675	-55.58989	416000	-2.8133393e-08	45.099243	-0.005059401	-9.648762	0.09682341	0.0014755605	0.0285	79.0	429.83318638801575
