Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	23.20349	13.826558	82.0	8.0	23.20349	-0.25745434	0.06528667	-0.03753271	-0.42080367	4000	-6.473064e-08	326.08194	-0.018104704	-173.3352	0.68862283	0.00855254	0.166	79.0	3.676710844039917
1	25.27848	15.77848	117.0	9.0	25.27848	8.036851	0.33742148	8.587243	4.3953166	8000	6.389618e-08	204.4113	-0.015770167	-53.965134	0.6900961	0.0057381266	0.0715	79.0	7.190576553344727
2	32.422764	19.728237	94.0	11.0	32.422764	12.623256	2.2781003	13.633747	-10.074112	12000	-1.5854836e-08	217.73752	-0.015709078	-38.855637	0.67700875	0.0062487205	0.0645	79.0	10.73892593383789
3	44.69663	27.169218	122.0	10.0	44.69663	17.070074	1.7268058	17.760023	-2.6197715	16000	-1.5497207e-08	319.28214	-0.017201606	-58.478455	0.65810853	0.015254205	0.11625	13.0	13.554167747497559
4	74.56604	42.546097	216.0	12.0	74.56604	22.275232	2.061161	22.97542	-8.886587	20000	-4.768372e-10	597.0675	-0.013813495	-150.76797	0.63561904	0.006408738	0.04875	79.0	16.932804346084595
5	107.888885	54.41955	244.0	14.0	107.888885	29.03655	5.0227942	30.647566	-12.543657	24000	3.9935113e-08	704.5598	-0.011410775	-202.32251	0.62298936	0.0044054547	0.04175	79.0	20.32545232772827
6	157.08	77.52105	311.0	23.0	157.08	36.19875	6.872352	38.893627	-2.6019151	28000	4.2915342e-09	861.9756	-0.007943077	-240.84088	0.6104161	0.015071264	0.184	10.0	23.08101224899292
7	194.8	85.59066	382.0	58.0	194.8	45.97972	5.239446	47.191723	2.8575606	32000	-2.7418137e-08	820.34125	-0.007501311	-177.711	0.6138524	0.0030115393	0.027	79.0	26.482088804244995
8	194.7	86.8649	407.0	27.0	194.7	50.196575	4.550982	52.96714	24.415062	36000	-1.6450882e-08	642.4404	-0.0077207866	-157.45648	0.5994583	0.0038594985	0.02	79.0	29.815794229507446
9	272.64285	93.069565	433.0	114.0	272.64285	51.097603	12.711051	58.194916	0.5422338	40000	-6.7353247e-09	561.86566	-0.007169559	-220.22626	0.6022423	0.0050594946	0.02675	79.0	33.244078636169434
10	387.2	123.05348	500.0	132.0	387.2	62.923496	8.294774	65.05429	5.198321	44000	1.66893e-08	683.6852	-0.00397245	-148.30731	0.5907328	0.008895485	0.01175	79.0	36.60230851173401
11	255.8	73.96143	372.0	127.0	255.8	55.822235	21.673618	70.737144	15.697074	48000	3.0875206e-08	390.37167	-0.006147479	-137.29695	0.5897584	0.015791746	0.26925	9.0	39.397587060928345
12	362.72726	117.47734	500.0	138.0	362.72726	64.44884	17.25148	73.6275	4.6271186	52000	-1.168251e-08	435.15878	-0.0095590465	-92.56616	0.5904102	0.009969747	0.086	79.0	42.76257610321045
13	378.2	83.26199	500.0	271.0	378.2	69.06834	16.074337	77.05252	14.844703	56000	-1.9669534e-08	231.83524	-0.00414811	-56.17914	0.58610344	0.017240442	0.20625	9.0	45.54928755760193
