Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-200.0	0.0	-200.0	-200.0	200.0	0.048324097	0.01524021	0.09813738	0.0020207167	4000	4.2915346e-08	3850.1084	-0.006074522	-945.60767	1.0965476	0.015236738	0.0	31.0	3.1998887062072754
1	-200.0	0.0	-200.0	-200.0	200.0	-9.003608	0.06123319	-8.801296	-9.160587	8000	3.4332274e-08	2911.3892	-0.0036250236	-568.3701	1.0943547	0.011709344	0.073	79.0	6.8283655643463135
2	-200.0	0.0	-200.0	-200.0	200.0	-15.36068	0.029918477	-15.207578	-15.423674	12000	-1.4972687e-07	2346.845	-0.00067931844	-408.2517	1.0761272	0.0053538275	0.0	79.0	10.50471830368042
3	-200.0	0.0	-200.0	-200.0	200.0	-20.586777	0.01735089	-20.517435	-20.624321	16000	9.918213e-08	1941.665	-0.002540739	-320.74646	1.0499743	0.015059521	0.2205	70.0	14.124852895736694
4	-200.0	0.0	-200.0	-200.0	200.0	-25.264984	0.013564469	-25.169664	-25.29184	20000	-2.8610229e-08	1623.7183	-0.0005636882	-255.25586	0.9784677	0.009103537	0.008	79.0	17.93068027496338
5	-200.0	0.0	-200.0	-200.0	200.0	-29.525404	0.010795585	-29.461744	-29.547483	24000	9.727478e-08	1371.0398	-0.0038516417	-202.27942	0.91819364	0.010933592	0.20925	79.0	21.6702082157135
6	-200.0	0.0	-200.0	-200.0	200.0	-33.413578	0.00964504	-33.364822	-33.431114	28000	-9.536744e-10	1171.2812	-0.0026509457	-158.62427	0.8176505	0.008139635	0.017	79.0	25.33785581588745
7	-200.0	0.0	-200.0	-200.0	200.0	-36.950703	0.008642988	-36.89436	-36.96594	32000	1.2397766e-08	1014.9233	-0.0013106059	-122.60089	0.720331	0.001450892	0.00275	79.0	29.126436948776245
8	-200.0	0.0	-200.0	-200.0	200.0	-40.150494	0.0061859502	-40.12457	-40.161854	36000	3.8146972e-08	894.4122	-0.0016821823	-93.15137	0.7608139	0.0022659118	0.02375	79.0	32.89150834083557
9	-200.0	0.0	-200.0	-200.0	200.0	-43.019962	0.005716676	-42.992672	-43.03051	40000	6.6757204e-09	803.22815	-0.0015594453	-69.456055	0.7503611	0.0043421756	0.0285	79.0	36.710331201553345
10	-200.0	0.0	-200.0	-200.0	200.0	-45.571415	0.004921916	-45.544994	-45.580032	44000	-3.71933e-08	735.5396	-0.0014845487	-50.709595	0.7406473	0.005359765	0.0265	79.0	40.433141469955444
11	-200.0	0.0	-200.0	-200.0	200.0	-47.816166	0.0061653443	-47.780533	-47.82619	48000	-2.9563903e-08	686.4054	-0.0020850438	-36.19281	0.816647	0.005198094	0.0	79.0	44.13228511810303
12	-200.0	0.0	-200.0	-200.0	200.0	-49.7696	0.0042599975	-49.753933	-49.777084	52000	1.0490417e-08	651.64166	-0.0030131063	-25.211243	0.81721413	0.005563831	0.0	79.0	47.803598403930664
