Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-38.189495	1.2125542	-36.830055	-40.029613	999.0	-0.02159293	0.022977443	0.033617266	-0.089191645	4000	1.5616416e-07	12.297786	-0.010173535	-11.606964	0.91893786	0.0045295586	0.026	79.0	2.95354962348938
1	-36.77165	1.3437651	-34.614067	-38.2941	999.0	-3.3641367	0.10460557	-2.8457549	-3.6447785	8000	5.9604646e-09	0.64634585	-0.0039549014	-0.01246047	0.8963852	0.0020493977	0.01225	79.0	6.0399370193481445
2	-34.733162	1.4942915	-32.501076	-36.36583	999.0	-3.2975502	0.05471459	-3.0666807	-3.4264362	12000	2.3841857e-09	0.6023902	-0.003488842	-0.031057358	0.87868667	0.0014282928	0.0095	79.0	9.242196083068848
3	-32.758297	1.500124	-31.634697	-35.319798	999.0	-3.117201	0.06464309	-2.8321774	-3.224116	16000	-1.192093e-10	0.53505456	-0.0029393737	-0.020723522	0.86147845	0.0005424509	0.00075	79.0	12.475337982177734
4	-32.799034	1.3123779	-30.694298	-34.242584	999.0	-2.9883335	0.030253831	-2.8371572	-3.038316	20000	1.9073487e-09	0.5292416	-0.0038453266	-0.001621604	0.84137905	0.002264589	0.00575	79.0	15.65208625793457
5	-30.378168	0.61208713	-29.533587	-31.171778	999.0	-2.9676006	0.010577878	-2.9125054	-2.9891665	24000	6.198883e-09	0.4800359	-0.0054186727	-0.055383533	0.8188076	0.0029557832	0.03025	79.0	18.896092176437378
6	-30.23984	0.9871822	-29.278076	-31.887459	999.0	-2.7276351	0.017169394	-2.590195	-2.7408001	28000	-7.1525574e-10	0.40897733	-0.0066003064	-0.001283139	0.79656017	0.0033841343	0.029	79.0	22.244328022003174
7	-27.29482	1.1227868	-25.93728	-28.867413	999.0	-2.7152996	0.011324726	-2.6412952	-2.7313874	32000	-1.26361845e-08	0.42050976	-0.004085581	-0.068143725	0.7742407	0.0020747765	0.01925	79.0	25.61201047897339
8	-26.623253	1.654546	-24.077972	-28.69947	999.0	-2.449807	0.014721799	-2.371445	-2.4787865	36000	-9.298325e-09	0.32595542	-0.003748698	-0.0013277233	0.7562276	0.00081705954	0.0055	79.0	28.96496081352234
9	-25.3007	1.1164011	-23.880054	-26.653334	999.0	-2.4183214	0.008514215	-2.3697488	-2.4339309	40000	-3.8146974e-09	0.3085611	-0.0033905227	-0.016643614	0.7342128	0.0004360844	0.00525	79.0	32.11732029914856
10	-24.9916	0.56205755	-24.410807	-25.879572	999.0	-2.289323	0.014430499	-2.2103894	-2.307986	44000	9.536744e-10	0.30368048	-0.0059316717	-0.0020145774	0.7137144	0.0032761784	0.0205	79.0	35.26181769371033
11	-22.543892	0.5731133	-21.937134	-23.373053	999.0	-2.2487078	0.011356377	-2.187512	-2.268324	48000	-2.861023e-09	0.24682836	-0.004525264	-0.045592815	0.6874111	0.005099001	0.01975	79.0	38.51242685317993
12	-22.693312	0.21031575	-22.457909	-23.030577	999.0	-2.0321727	0.008231402	-1.9912181	-2.0444298	52000	4.053116e-09	0.2778286	-0.00585513	-0.00022143126	0.66868865	0.0042378996	0.02775	79.0	41.75486469268799
13	-21.925323	0.5367879	-21.336023	-22.750393	999.0	-2.0391147	0.006964992	-2.0093634	-2.051949	56000	-3.0994416e-09	0.22751276	-0.0043113343	-0.0020537078	0.6474587	0.00212019	0.00925	79.0	44.91279911994934
14	-21.169388	0.49139214	-20.506123	-21.817404	999.0	-1.9942473	0.023033718	-1.878324	-2.022429	60000	-4.2915342e-09	0.18780333	-0.004391684	-0.0089543015	0.62468797	0.0013891099	0.00725	79.0	48.07455849647522
15	-19.587454	1.0579166	-18.210598	-21.102804	999.0	-1.9106089	0.01235449	-1.8393303	-1.9374766	64000	4.529953e-09	0.1982548	-0.00410708	-0.019837052	0.5995325	0.0016783485	0.007	79.0	51.23384380340576
16	-19.1249	0.50189096	-18.462128	-19.798555	999.0	-1.7688296	0.023533469	-1.6639069	-1.8150666	68000	-8.34465e-09	0.21782015	-0.0060846643	-0.0022832304	0.5747044	0.0021556166	0.0085	79.0	54.40819811820984
17	-17.829588	0.6742171	-17.298414	-18.976225	999.0	-1.7306508	0.010688265	-1.6859305	-1.7548804	72000	-4.7683715e-09	0.18100756	-0.0058824862	-0.015716687	0.5449304	0.0006089816	0.01825	79.0	57.555296659469604
18	-16.858793	0.5352469	-15.944618	-17.308199	999.0	-1.6070732	0.011977294	-1.5554156	-1.6290666	76000	1.2040139e-08	0.16814196	-0.0056799315	-0.00626944	0.5194895	0.0037123282	0.018	79.0	60.70872712135315
19	-15.439143	0.64504504	-14.335383	-15.952065	999.0	-1.5280188	0.008276632	-1.4974266	-1.5450906	80000	1.9073487e-09	0.11997943	-0.0036132424	-0.021069326	0.49656373	0.0030607563	0.01625	79.0	63.995906352996826
20	-15.41189	0.43103862	-14.88076	-15.881447	999.0	-1.3915553	0.013149267	-1.3431343	-1.4132493	84000	-7.033348e-09	0.1130024	-0.0044700634	-0.000644587	0.4776345	0.0023559853	0.01375	79.0	67.17511510848999
21	-15.024753	0.41856402	-14.348059	-15.430978	999.0	-1.3950105	0.0063778968	-1.3575182	-1.4049151	88000	2.3841857e-09	0.11586449	-0.0046533034	-0.0018311441	0.45725533	0.0017108629	0.0035	79.0	70.38435173034668
22	-13.904285	0.33924413	-13.507042	-14.434646	999.0	-1.3549922	0.011771514	-1.295267	-1.3710427	92000	1.7881394e-08	0.10097653	-0.0037360492	-0.009946138	0.43188456	0.0022394639	0.008	79.0	73.58624768257141
23	-13.185492	0.27544034	-12.775429	-13.480037	999.0	-1.2557735	0.012088831	-1.1917572	-1.274794	96000	-1.5974045e-08	0.085909665	-0.0007809556	-0.0034558326	0.410207	0.01673239	0.19025	3.0	76.27645897865295
24	-13.3757515	0.86484003	-12.020734	-14.428604	999.0	-1.1988935	0.00883349	-1.1632308	-1.2141703	100000	5.00679e-09	0.084505126	-0.0045531294	-0.00023365766	0.40945023	0.0019695838	0.0155	79.0	79.49269533157349
25	-12.490375	0.30555284	-12.005916	-12.83709	999.0	-1.1867422	0.009552637	-1.1224625	-1.2041306	104000	-1.1920929e-09	0.07684281	-0.0037611315	-0.0038009882	0.38786694	0.0003338086	0.00325	79.0	82.6467981338501
