Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1203.1615	223.4041	-939.2142	-1692.5997	200.0	-0.13355504	0.13102375	0.090887114	-0.35992637	4000	-3.8528444e-07	140109.55	-0.006044375	-5757.3594	0.91893786	0.0046254825	0.0495	79.0	3.847191095352173
1	-1178.4438	235.88113	-899.0296	-1745.7936	200.0	-8.406406	1.0281109	-6.081211	-9.801629	8000	-9.775162e-08	132562.44	-0.004322522	-5094.7812	0.90991217	0.00327072	0.0495	79.0	7.624180316925049
2	-1095.926	139.37038	-895.28424	-1362.2427	200.0	-16.533928	0.13531308	-16.219799	-16.78454	12000	-1.3351441e-08	105991.85	-0.0044762	-3372.7656	0.87922454	0.00425506	0.037	79.0	11.711549758911133
3	-1097.8147	139.1697	-899.84607	-1523.0859	200.0	-22.434563	0.050618205	-22.320944	-22.52611	16000	-1.2016297e-07	102191.96	-0.0045504738	-3012.3125	0.8895802	0.0044472176	0.035	79.0	15.475714921951294
4	-1125.9283	194.16489	-853.6215	-1476.4763	200.0	-27.868116	0.03169491	-27.798916	-27.918327	20000	1.745224e-07	106438.055	-0.0049325097	-3101.7812	0.8782275	0.0037163894	0.041	79.0	19.3498215675354
5	-1101.4905	185.90529	-900.53204	-1650.7543	200.0	-33.31947	0.018770082	-33.271637	-33.35133	24000	1.039505e-07	97777.03	-0.004060539	-2769.461	0.8740693	0.0033140993	0.027	79.0	23.83728265762329
6	-1083.8726	168.14148	-820.7683	-1500.7189	200.0	-38.47992	0.01546105	-38.438244	-38.50371	28000	-1.3542176e-07	91933.05	-0.0050154915	-2635.7266	0.88373035	0.007041066	0.04775	79.0	27.7061185836792
7	-1074.694	218.07303	-770.1115	-1528.8812	200.0	-43.520153	0.009919313	-43.49467	-43.53526	32000	-2.002716e-08	87572.305	-0.004121326	-2406.7578	0.8797533	0.0031922944	0.04475	79.0	32.30026888847351
8	-994.69104	168.75554	-753.5766	-1398.6378	200.0	-48.363213	0.0064001284	-48.34694	-48.376545	36000	9.536743e-08	71483.91	-0.0068638297	-2027.3906	0.84970033	0.00599617	0.06175	79.0	36.09060335159302
9	-1054.8167	304.92606	-719.0352	-1779.1119	200.0	-52.862125	0.0058313236	-52.84702	-52.87105	40000	-8.678436e-08	84573.02	-0.0037187028	-2226.3984	0.8409522	0.0033046622	0.03325	79.0	39.80492401123047
10	-1043.9342	238.91115	-732.8311	-1526.1282	200.0	-57.576782	0.0044904887	-57.565086	-57.584393	44000	1.525879e-08	77288.69	-0.0052211666	-2191.9062	0.83980024	0.0060268925	0.0465	79.0	43.66080403327942
11	-1117.6747	254.90883	-749.86365	-1681.5562	200.0	-62.301727	0.00454101	-62.284504	-62.30705	48000	-5.8174134e-08	86277.3	-0.0032148743	-2340.4766	0.8662568	0.0035376332	0.0325	79.0	47.45964813232422
12	-987.0077	176.75584	-737.6038	-1336.6426	200.0	-67.19172	0.004372469	-67.17968	-67.19863	52000	-1.8501282e-07	61170.523	-0.003491046	-1722.7188	0.8807394	0.004085831	0.04575	79.0	51.1961727142334
13	-1059.9713	227.24405	-764.5605	-1661.7104	200.0	-71.47197	0.00344974	-71.464134	-71.47699	56000	5.1498414e-08	72915.234	-0.0034157066	-1976.125	0.8633594	0.0032669827	0.0245	79.0	55.043832540512085
14	-979.312	182.39784	-758.77826	-1392.5228	200.0	-76.030235	0.003111797	-76.02353	-76.03526	60000	8.5353854e-08	57984.49	-0.00658782	-1626.3594	0.86350197	0.0087186815	0.05625	79.0	58.82286071777344
